date,aqi
2017-03-26,21.69
2017-03-27,17.73
2017-03-28,21.73
2017-03-29,25.73
2017-03-30,29.73
2017-03-31,33.73
2017-04-01,25.74
2017-04-02,43.05
2017-04-03,34.38
2017-04-04,36.27
2017-04-05,38.16
2017-04-06,40.05
2017-04-07,41.95
2017-04-08,51.45
2017-04-09,55.44
2017-04-10,51.49
2017-04-11,31.7
2017-04-12,9.87
2017-04-13,20.09
2017-04-14,21.78
2017-04-15,42.12
2017-04-16,63.47
2017-04-17,24.88
2017-04-18,29.41
2017-04-19,43.72
2017-04-20,28.58
2017-04-21,18.55
2017-04-22,9.0
2017-04-23,12.83
2017-04-24,16.66
2017-04-25,20.49
2017-04-26,24.32
2017-04-27,23.88
2017-04-28,23.45
2017-04-29,23.01
2017-04-30,22.57
2017-05-01,22.13
2017-05-02,21.7
2017-05-03,21.26
2017-05-04,20.82
2017-05-05,20.38
2017-05-06,24.51
2017-05-07,23.96
2017-05-08,28.49
2017-05-09,33.03
2017-05-10,16.43
2017-05-11,12.15
2017-05-12,19.71
2017-05-13,19.49
2017-05-14,23.61
2017-05-15,13.88
2017-05-16,15.05
2017-05-17,21.79
2017-05-18,21.85
2017-05-19,21.92
2017-05-20,21.98
2017-05-21,22.04
2017-05-22,22.1
2017-05-23,22.16
2017-05-24,16.17
2017-05-25,18.14
2017-05-26,20.1
2017-05-27,22.07
2017-05-28,24.03
2017-05-29,5.49
2017-05-30,7.83
2017-05-31,10.17
2017-06-01,10.17
2017-06-02,10.17
2017-06-03,10.17
2017-06-04,10.17
2017-06-05,10.17
2017-06-06,10.17
2017-06-07,5.9
2017-06-08,14.75
2017-06-09,14.86
2017-06-10,13.39
2017-06-11,17.67
2017-06-12,21.14
2017-06-13,16.32
2017-06-14,11.99
2017-06-15,13.62
2017-06-16,14.7
2017-06-17,14.08
2017-06-18,13.26
2017-06-19,11.85
2017-06-20,14.82
2017-06-21,12.15
2017-06-22,15.91
2017-06-23,12.24
2017-06-24,10.3
2017-06-25,13.77
2017-06-26,9.24
2017-06-27,9.2
2017-06-28,8.8
2017-06-29,9.98
2017-06-30,14.64
2017-07-01,16.72
2017-07-02,13.47
2017-07-03,18.28
2017-07-04,14.06
2017-07-05,13.94
2017-07-06,15.55
2017-07-07,16.82
2017-07-08,16.45
2017-07-09,13.73
2017-07-10,22.86
2017-07-11,40.7
2017-07-12,37.65
2017-07-13,34.59
2017-07-14,31.54
2017-07-15,28.48
2017-07-16,25.43
2017-07-17,22.37
2017-07-18,19.32
2017-07-19,16.26
2017-07-20,13.21
2017-07-21,10.15
2017-07-22,7.1
2017-07-23,17.41
2017-07-24,14.25
2017-07-25,12.85
2017-07-26,17.74
2017-07-27,16.58
2017-07-28,19.9
2017-07-29,19.56
2017-07-30,20.5
2017-07-31,15.98
2017-08-01,20.08
2017-08-02,22.13
2017-08-03,28.22
2017-08-04,15.3
2017-08-05,12.88
2017-08-06,15.13
2017-08-07,16.48
2017-08-08,15.7
2017-08-09,19.39
2017-08-10,14.26
2017-08-11,14.22
2017-08-12,27.67
2017-08-13,30.77
2017-08-14,35.34
2017-08-15,21.26
2017-08-16,16.42
2017-08-17,14.32
2017-08-18,16.93
2017-08-19,22.6
2017-08-20,15.18
2017-08-21,10.88
2017-08-22,11.62
2017-08-23,11.21
2017-08-24,15.15
2017-08-25,14.91
2017-08-26,16.21
2017-08-27,16.16
2017-08-28,19.73
2017-08-29,18.3
2017-08-30,16.53
2017-08-31,15.28
2017-09-01,18.33
2017-09-02,18.69
2017-09-03,24.64
2017-09-04,29.63
2017-09-05,18.74
2017-09-06,17.36
2017-09-07,14.66
2017-09-08,17.23
2017-09-09,28.07
2017-09-10,28.16
2017-09-11,16.12
2017-09-12,12.72
2017-09-13,11.5
2017-09-14,14.89
2017-09-15,17.4
2017-09-16,26.01
