fold,test_month,n_train_days,n_test_days,is_heating_test,has_heating_in_train,MAE,RMSE,MAPE(%),R2
1,2017-06,36,30,False,False,4.539442825784417,6.368857481372642,21.322072030869762,0.5366373132865592
2,2017-07,66,31,False,False,32.067812516730484,38.89589262988721,42.08024003002429,-2.1407712451165626
3,2017-08,97,31,False,False,10.477547217573393,11.482522133884732,36.96025969861349,-0.8915914989970222
4,2017-09,128,30,False,False,3.9511812812322322,5.60085748728438,14.775285384667027,0.6738195830871111
5,2017-10,158,31,False,False,13.47977564247258,19.279535890786768,25.955117865705407,0.04873654227776836
6,2018-04,340,30,False,True,6.702543145041458,7.876863193477581,27.078019791655922,0.4785843014876635
7,2018-05,370,31,False,True,5.098168341974232,6.3114423997414955,45.12745461364786,-0.016836851510613426
8,2018-06,401,30,False,True,5.562156168580791,6.333025857149583,41.386350833762684,0.28890322000911006
9,2018-07,431,31,False,True,2.867017805270217,3.6545821865962815,21.955802526755686,0.4636338834061158
10,2018-08,462,31,False,True,1.8471565314781548,2.320472180572626,13.254578493872318,0.47724852865735023
11,2018-09,493,30,False,True,5.1133926727175485,6.554083392513696,27.3470257941357,0.12183508243293284
12,2018-10,523,31,False,True,8.84782513477024,12.259782680277112,27.354090561433786,0.4267936196918809
13,2018-11,554,30,True,True,19.97422007528161,27.181075803509312,29.598870332051142,0.6201498407786739
14,2018-12,584,31,True,True,32.34621833831327,39.43750931220811,31.69180720543061,0.5183529246705183
15,2019-01,615,31,True,True,22.979059629818256,29.382639968661266,29.874786927050817,0.18638109610425413
16,2019-02,646,28,True,True,17.44847641618646,21.752015190676335,26.718507041836702,0.5898277815702458
17,2019-03,674,31,True,True,12.42747922999272,15.330150755186086,23.426291772449037,0.6864366325870961
18,2019-04,705,30,False,True,5.436301344160281,6.6860554392942095,26.20079337381766,0.479598545080851
19,2019-05,735,31,False,True,3.484681781789267,4.1257552222558544,33.292323232481905,0.21392985916841323
20,2019-06,766,30,False,True,3.048170018418698,3.4520981246842255,38.31288778458001,-0.8050166518617436
21,2019-07,796,31,False,True,1.6293490248672367,2.1069383120339578,10.544171188373882,0.4768219761692539
22,2019-08,827,31,False,True,1.3255689292829076,1.8459888805745905,9.325970482947074,-0.24077778426841823
23,2019-09,858,30,False,True,2.555785663590816,3.4433544023651854,20.7514322021275,0.6150427751457272
24,2019-10,888,31,False,True,7.032967580131382,8.686865794509892,31.88299772844442,0.29822203761660004
25,2019-11,919,30,True,True,10.99586930073728,13.892531255494292,24.56252219704703,0.5418805701047469
26,2019-12,949,22,True,True,24.103277482805712,30.100361947789665,76.73638190633585,0.18722616476933618
