date,aqi
2018-05-25,18.15
2018-05-26,18.57
2018-05-27,12.21
2018-05-28,12.21
2018-05-29,12.21
2018-05-30,12.21
2018-05-31,12.21
2018-06-01,12.21
2018-06-02,12.21
2018-06-03,12.21
2018-06-04,29.03
2018-06-05,45.84
2018-06-06,21.27
2018-06-07,14.55
2018-06-08,27.59
2018-06-09,23.98
2018-06-10,28.79
2018-06-11,16.64
2018-06-12,16.29
2018-06-13,11.36
2018-06-14,12.14
2018-06-15,12.48
2018-06-16,26.33
2018-06-17,33.57
2018-06-18,14.33
2018-06-19,18.85
2018-06-20,14.85
2018-06-21,17.26
2018-06-22,18.11
2018-06-23,19.15
2018-06-24,21.56
2018-06-25,9.78
2018-06-26,12.65
2018-06-27,19.53
2018-06-28,24.98
2018-06-29,27.42
2018-06-30,26.65
2018-07-01,18.32
2018-07-02,8.47
2018-07-03,14.16
2018-07-04,17.06
2018-07-05,18.29
2018-07-06,25.5
2018-07-07,29.89
2018-07-08,22.55
2018-07-09,14.15
2018-07-10,17.93
2018-07-11,15.82
2018-07-12,10.47
2018-07-13,11.05
2018-07-14,20.08
2018-07-15,18.17
2018-07-16,13.99
2018-07-17,16.17
2018-07-18,19.0
2018-07-19,27.19
2018-07-20,33.57
2018-07-21,28.51
2018-07-22,28.45
2018-07-23,17.21
2018-07-24,13.51
2018-07-25,21.95
2018-07-26,22.05
2018-07-27,21.83
2018-07-28,61.96
2018-07-29,27.83
2018-07-30,21.46
2018-07-31,25.43
2018-08-01,21.69
2018-08-02,23.63
2018-08-03,18.46
2018-08-04,19.64
2018-08-05,26.07
2018-08-06,26.72
2018-08-07,24.9
2018-08-08,14.88
2018-08-09,18.2
2018-08-10,23.5
2018-08-11,27.95
2018-08-12,25.1
2018-08-13,15.91
2018-08-14,22.66
2018-08-15,30.69
2018-08-16,21.47
2018-08-17,13.38
2018-08-18,24.43
2018-08-19,27.3
2018-08-20,21.47
2018-08-21,23.96
2018-08-22,39.71
2018-08-23,26.81
2018-08-24,21.74
2018-08-25,17.94
2018-08-26,33.1
2018-08-27,15.52
2018-08-28,22.64
2018-08-29,16.02
2018-08-30,21.68
2018-08-31,21.84
2018-09-01,22.01
2018-09-02,25.89
2018-09-03,21.28
2018-09-04,29.13
2018-09-05,28.35
2018-09-06,25.87
2018-09-07,27.07
2018-09-08,25.03
2018-09-09,49.7
