iter	RMSE
0	4.93378758
1	4.859484448
2	4.815043264
3	4.755150099
4	4.699375958
5	4.651375873
6	4.59689088
7	4.551744532
8	4.495047194
9	4.441200023
10	4.371705417
11	4.327136317
12	4.277483133
13	4.231771974
14	4.1852241
15	4.13309186
16	4.087147133
17	4.044788687
18	3.996054377
19	3.955010958
20	3.898331844
21	3.858676735
22	3.818545061
23	3.776657785
24	3.73946829
25	3.694486029
26	3.662899429
27	3.611903316
28	3.568549448
29	3.547560961
30	3.504978448
31	3.472905782
32	3.427342122
33	3.395744673
34	3.357302515
35	3.323266698
36	3.291274343
37	3.255199109
38	3.224628132
39	3.188964684
40	3.149291115
41	3.12047993
42	3.09093277
43	3.067268104
44	3.042967522
45	2.988579993
46	2.9668741
47	2.927893542
48	2.904620938
49	2.875033443
50	2.824598203
51	2.799854451
52	2.762684757
53	2.731084981
54	2.699907073
55	2.658508823
56	2.636846123
57	2.598519954
58	2.576262985
59	2.558974902
60	2.536508965
61	2.494511199
62	2.4795257
63	2.45583313
64	2.422095185
65	2.395896652
66	2.383622364
67	2.358205094
68	2.343003147
69	2.32924977
70	2.316272383
71	2.2749049
72	2.246878232
73	2.235452378
74	2.212586943
75	2.199438847
76	2.178811409
77	2.160846772
78	2.149350899
79	2.136417266
80	2.126452053
81	2.113893716
82	2.103637786
83	2.074405996
84	2.057088317
85	2.031308028
86	2.022242365
87	2.002507604
88	1.976828383
89	1.957785487
90	1.936595129
91	1.918461121
92	1.900721269
93	1.890154388
94	1.879773846
95	1.862594273
96	1.842607683
97	1.826014222
98	1.817046531
99	1.808226879
100	1.791937157
101	1.775994908
102	1.760391777
103	1.740538805
104	1.722335787
105	1.697240853
106	1.680880204
107	1.669548702
108	1.645456605
109	1.63012192
110	1.614041645
111	1.590961086
112	1.5683703
113	1.553061635
114	1.530078455
115	1.523338596
116	1.500979482
117	1.47913747
118	1.473143478
119	1.451885992
120	1.431116856
121	1.418884313
122	1.405398911
123	1.393498411
124	1.380297573
125	1.371992423
126	1.359637361
127	1.34686481
128	1.334631083
129	1.328234264
130	1.31625247
131	1.304449586
132	1.292822488
133	1.28714633
134	1.27574835
135	1.260241825
136	1.249141853
137	1.238252859
138	1.227483966
139	1.2169436
140	1.206190941
141	1.192627318
142	1.179270129
143	1.166115388
144	1.153159207
145	1.142421288
146	1.129788193
147	1.119341461
148	1.107021463
149	1.094610389
150	1.082433162
151	1.071645755
152	1.062224312
153	1.052931545
154	1.043774819
155	1.034750981
156	1.021864979
157	1.01191616
158	1.002133745
159	0.9936199465
160	0.985226999
161	0.9707817036
162	0.9618170323
163	0.9529780157
164	0.9442625535
165	0.9356686074
166	0.927194198
167	0.9188374023
168	0.9105963509
169	0.9024692261
170	0.8944542594
171	0.8865497292
172	0.8771569428
173	0.8684708414
174	0.8598910149
175	0.8514160197
176	0.8430444402
177	0.8347748881
178	0.8266060016
179	0.8185364449
180	0.8105649074
181	0.802690103
182	0.7949107695
183	0.7872256681
184	0.7796335828
185	0.7721333196
186	0.7650434375
187	0.7580505362
188	0.751152953
189	0.7443490804
190	0.7376373633
191	0.7310162956
192	0.7245382853
193	0.7180548791
194	0.711749293
195	0.7054418894
196	0.697495228
197	0.6914227997
198	0.6855622223
199	0.6778803325
200	0.6720332067
201	0.6662803801
202	0.6611023435
203	0.653182373
204	0.6453918695
205	0.6377285822
206	0.6301903036
207	0.6240843044
208	0.6180587413
209	0.6121124181
210	0.6062441654
211	0.6002226893
212	0.5942793524
213	0.5886063432
214	0.5827980118
215	0.5772566648
216	0.5714645999
217	0.5658558968
218	0.56050015
219	0.555018315
220	0.5497865502
221	0.5444285192
222	0.5391395794
223	0.5340806042
224	0.5299625276
225	0.5248348124
226	0.5199260874
227	0.5136330239
228	0.5074516125
229	0.5014574516
230	0.4954742893
