iter	Passed	Remaining
0	25	76578
1	46	69998
2	74	74548
3	94	70793
4	115	68973
5	135	67513
6	155	66404
7	174	65430
8	194	64802
9	217	65117
10	272	74117
11	292	72832
12	312	71858
13	333	71124
14	353	70434
15	374	69800
16	394	69240
17	415	68786
18	436	68504
19	457	68187
20	478	67874
21	498	67542
22	520	67370
23	550	68291
24	571	68008
25	592	67732
26	613	67594
27	636	67524
28	666	68259
29	687	68028
30	707	67778
31	728	67602
32	765	68837
33	775	67652
34	795	67398
35	817	67282
36	837	67092
37	859	66981
38	880	66815
39	901	66738
40	922	66579
41	943	66437
42	965	66387
43	986	66256
44	1006	66119
45	1027	66008
46	1049	65918
47	1071	65881
48	1091	65764
49	1112	65657
50	1134	65605
51	1155	65511
52	1176	65403
53	1197	65341
54	1219	65320
55	1246	65527
56	1269	65567
57	1312	66566
58	1350	67335
59	1372	67248
60	1393	67149
61	1415	67095
62	1437	67000
63	1458	66898
64	1480	66855
65	1501	66756
66	1522	66637
67	1543	66556
68	1565	66486
69	1586	66401
70	1608	66341
71	1629	66258
72	1649	66155
73	1670	66071
74	1691	65979
75	1714	65944
76	1735	65874
77	1756	65799
78	1777	65712
79	1799	65666
80	1820	65596
81	1854	65986
82	1874	65881
83	1895	65817
84	1917	65744
85	1937	65651
86	1958	65573
87	1980	65520
88	2000	65446
89	2023	65428
90	2044	65369
91	2065	65299
92	2086	65216
93	2107	65154
94	2128	65100
95	2161	65383
96	2163	64748
97	2183	64662
98	2203	64577
99	2225	64527
100	2260	64895
101	2280	64794
102	2300	64694
103	2320	64624
104	2343	64603
105	2364	64545
106	2385	64486
107	2405	64420
108	2427	64373
109	2448	64318
110	2469	64270
111	2490	64213
112	2512	64181
113	2533	64136
114	2554	64093
115	2576	64052
116	2597	64004
117	2618	63951
118	2639	63908
119	2661	63871
120	2682	63831
121	2703	63779
122	2724	63730
123	2745	63684
124	2767	63645
125	2800	63867
126	2820	63794
127	2840	63724
128	2861	63678
129	2882	63632
130	2903	63583
131	2924	63547
132	2945	63504
133	2966	63457
134	2987	63404
135	3008	63349
136	3029	63316
137	3050	63259
138	3071	63209
139	3092	63171
140	3113	63122
141	3134	63079
142	3155	63037
143	3176	63003
144	3177	62563
145	3198	62518
146	3219	62479
147	3240	62440
148	3260	62394
149	3282	62358
150	3303	62322
151	3325	62306
152	3346	62263
153	3366	62221
154	3388	62193
155	3409	62150
156	3429	62105
157	3450	62069
158	3472	62041
159	3493	62017
160	3514	61980
161	3536	61948
162	3557	61912
163	3578	61879
164	3599	61851
165	3635	62059
166	3656	62026
167	3677	61990
168	3698	61951
169	3719	61917
170	3741	61906
171	3762	61868
172	3783	61832
173	3805	61799
174	3837	61951
175	3857	61900
176	3877	61846
177	3898	61800
178	3919	61767
179	3940	61731
180	3961	61692
181	3981	61654
182	4003	61620
183	4024	61587
