iter	RMSE
0	66.1632059
1	65.74964408
2	65.33568722
3	64.951515
4	64.53159966
5	64.17855668
6	63.81253488
7	63.4133316
8	63.03343752
9	62.62963538
10	62.30827311
11	61.95952041
12	61.62821072
13	61.27512621
14	60.92848642
15	60.57657803
16	60.2280218
17	59.90434572
18	59.59435696
19	59.27956925
20	58.96206232
21	58.62775044
22	58.30353657
23	57.96765593
24	57.68048554
25	57.34475125
26	57.0491355
27	56.72324736
28	56.42050969
29	56.13946975
30	55.85491921
31	55.55466358
32	55.28343564
33	54.99839062
34	54.73145475
35	54.44921494
36	54.21329877
37	53.90991437
38	53.66321766
39	53.40041507
40	53.13001942
41	52.88584744
42	52.65066595
43	52.4139277
44	52.16648974
45	51.93964782
46	51.67528666
47	51.46393938
48	51.25772933
49	50.97921048
50	50.76032785
51	50.55579079
52	50.30843679
53	50.09078756
54	49.90459752
55	49.67780734
56	49.46358941
57	49.22643472
58	49.01880057
59	48.79578623
60	48.59974737
61	48.41198973
62	48.24021939
63	48.04018977
64	47.85810989
65	47.68421803
66	47.48718408
67	47.29775203
68	47.11780995
69	46.93648225
70	46.73317032
71	46.55314321
72	46.37940247
73	46.18870606
74	46.02645276
75	45.82737933
76	45.62350176
77	45.4364836
78	45.26020061
79	45.05999973
80	44.92813337
81	44.80133816
82	44.63935603
83	44.5040221
84	44.36088734
85	44.21307623
86	44.05936151
87	43.90116648
88	43.77257671
89	43.60866
90	43.4783745
91	43.35612074
92	43.20465668
93	43.04210822
94	42.88065998
95	42.75336238
96	42.60997084
97	42.45567641
98	42.31504868
99	42.1877042
100	42.03485317
101	41.90020753
102	41.79634264
103	41.68249421
104	41.56165788
105	41.42712897
106	41.29296983
107	41.16724677
108	41.03194908
109	40.92934774
110	40.79150516
111	40.6553115
112	40.57180011
113	40.4765107
114	40.36003438
115	40.22906112
116	40.13321168
117	40.03496608
118	39.94627763
119	39.84870544
120	39.77193865
121	39.68625324
122	39.61178819
123	39.47224769
124	39.36609925
125	39.22123859
126	39.09050213
127	38.99864824
128	38.91248688
129	38.81022444
130	38.7372983
131	38.63123788
132	38.53632273
133	38.42100581
134	38.31946369
135	38.21797478
136	38.14856109
137	38.07415438
138	37.99063093
139	37.89428295
140	37.82350167
141	37.73655032
142	37.65179196
143	37.57203893
144	37.50280715
145	37.42025366
146	37.33454841
147	37.25615967
148	37.17889818
149	37.09907512
150	37.02790438
151	36.94576216
152	36.87776299
153	36.82540393
154	36.74931665
155	36.68919966
156	36.6278865
157	36.57430144
158	36.51519738
159	36.4325666
160	36.36158659
161	36.29102016
162	36.20804595
163	36.1406024
164	36.06578445
165	36.01049253
166	35.94149777
167	35.86907966
168	35.81132805
169	35.74215515
170	35.67554004
171	35.62540524
172	35.55252489
173	35.48848123
174	35.43700356
175	35.37715715
176	35.325076
177	35.26190246
178	35.17962788
179	35.11317841
180	35.04980146
181	34.9974663
182	34.9415146
183	34.89628832
184	34.8480805
185	34.77497202
186	34.71437212
187	34.65491337
188	34.61066544
189	34.55555322
190	34.51152532
191	34.45131676
192	34.42159066
193	34.36232419
194	34.32289514
195	34.23059116
196	34.17175437
197	34.14606533
198	34.10181082
199	34.04130414
200	33.94867523
201	33.88084512
202	33.8183498
203	33.77005829
204	33.73027125
205	33.67097426
206	33.61634417
207	33.56909433
208	33.52191533
209	33.46676928
210	33.40522474
211	33.37311098
212	33.32745367
213	33.28528924
214	33.23561015
215	33.16526085
216	33.13487036
217	33.09017687
218	33.05168251
219	33.00617281
220	32.958148
221	32.92530771
222	32.87000899
223	32.82626728
224	32.78995123
225	32.73076382
226	32.68951276
227	32.64564229
228	32.60371292
229	32.58926211
230	32.56703285
231	32.53399839
232	32.49826019
233	32.42624966
234	32.38333258
235	32.33412703
236	32.27586078
237	32.25017445
238	32.20478426
239	32.15479108
240	32.11559954
241	32.0833811
242	32.02727897
243	32.00910223
244	31.98287222
245	31.95228006
246	31.89496293
247	31.83288382
248	31.77256392
249	31.72524199
250	31.68191067
251	31.64854451
252	31.62021614
253	31.58700765
254	31.5400108
255	31.51060031
256	31.45852011
257	31.42332134
258	31.38453353
259	31.31967632
260	31.28288256
261	31.23509755
262	31.1932449
263	31.15895604
264	31.12417207
265	31.07314038
266	31.0283767
267	31.00631991
268	30.95385654
269	30.90273286
270	30.86064187
271	30.82072743
272	30.7881253
273	30.77708673
274	30.74169771
275	30.71688024
276	30.70383342
277	30.68801742
278	30.65229612
279	30.60163477
280	30.56104341
281	30.52515312
282	30.48723529
283	30.47729328
284	30.43606528
285	30.38039833
286	30.32851033
287	30.31104951
288	30.28611242
289	30.28038267
290	30.23621681
291	30.2010386
292	30.16255025
293	30.14597318
294	30.11022225
295	30.09371585
296	30.06668761
297	30.03603475
298	30.01438784
299	29.95740893
300	29.91291267
301	29.88839394
302	29.84605066
303	29.80577276
304	29.77471348
305	29.75373551
306	29.72977445
307	29.69710055
308	29.66228382
