date, pm25, pm10, no2, so2, co
2022/12/27, 129, 90, , 1, 23
2022/12/28, 131, 60, , 1, 17
2022/12/29, 103, 39, , 1, 7
2022/12/30, 93, 83, , 1, 11
2022/12/31, 122, 54, , 1, 6
2023/1/1, 104, 34, , 1, 12
2022/9/6, 64, 23, 54, 2, 9
2022/9/7, 61, 21, 54, 2, 8
2022/9/8, 67, 17, 29, 1, 9
2022/9/9, 72, 25, 37, 2, 4
2022/9/10, 78, 35, 51, 2, 7
2022/9/11, 73, 24, 22, 1, 3
2022/9/12, 73, 23, 20, 1, 4
2022/9/13, 75, 26, 30, 2, 6
2022/9/14, 61, 18, 27, 2, 4
2022/9/15, 69, 23, 44, 2, 8
2022/9/16, 83, 25, 10, 2, 9
2022/9/17, 78, 28, , 2, 7
2022/9/18, 67, 7, , 2, 8
2022/9/19, 71, 32, , 2, 9
2022/9/20, 70, 34, , 2, 10
2022/9/21, 77, 27, , 2, 8
2022/9/22, 63, 28, , 2, 8
2022/9/23, 59, 24, , 2, 5
2022/9/24, 66, 27, , 2, 8
2022/9/25, 62, 17, , 2, 7
2022/9/26, 61, 26, , 2, 6
2022/9/27, 62, 20, , 2, 4
2022/9/28, 56, 15, , 3, 5
2022/9/29, 60, 22, , 2, 4
2022/9/30, 61, 19, , 2, 4
2022/4/1, 83, 26, 37, 2, 7
2022/4/2, 66, 49, 34, 2, 5
2022/4/3, 76, 50, 52, 2, 8
2022/4/4, 80, 52, 59, 3, 8
2022/4/5, 88, 36, 49, 2, 9
2022/4/6, 73, 25, 37, 2, 6
2022/4/7, 55, 26, 18, 2, 5
2022/4/8, 64, 39, 22, 2, 5
2022/4/9, 75, 27, 16, 2, 5
2022/4/10, 65, 25, 23, 2, 7
2022/4/11, 73, 32, 28, 2, 7
2022/4/12, 72, 23, 20, 2, 7
2022/4/13, 38, 27, 16, 2, 7
2022/4/14, 56, 23, , 2, 8
2022/4/15, 44, 17, , 2, 7
2022/4/16, 41, 20, , 2, 7
2022/4/17, 29, 40, , 2, 11
2022/4/18, 82, 23, , 2, 5
2022/4/19, 54, 51, , 2, 6
2022/4/20, 85, 45, , 2, 8
2022/4/21, 87, 33, , 2, 8
2022/4/22, 67, 10, , 2, 5
2022/4/23, 36, 17, , 2, 5
2022/4/24, 46, 20, , 2, 4
2022/4/25, 34, 22, , 2, 5
2022/4/26, 36, 25, , 2, 8
2022/4/27, 51, 16, 5, 2, 5
2022/4/28, 29, 32, 31, 2, 8
2022/4/29, 48, 35, 40, 2, 9
2022/4/30, 69, 33, 26, 2, 7
2022/5/1, 95, 26, 29, 2, 7
2022/1/3, 112, 21, 33, 2, 8
2022/1/4, 44, , , , 
2022/1/5, 110, 74, 14, 2, 6
2022/1/6, 112, , , , 
2022/1/9, 122, 58, 21, 1, 5
2022/1/10, 107, 56, 24, 1, 4
2022/1/11, 113, 78, 34, 1, 17
2022/1/12, 142, 26, 22, 1, 11
2022/1/13, 71, 28, 23, 1, 9
2022/1/14, 55, 39, 22, 2, 9
2022/1/15, 71, 40, 20, 1, 9
2022/1/16, 69, 53, 17, 1, 7
2022/1/17, 101, 52, 17, 1, 9
2022/1/18, 82, 52, 21, 1, 13
2022/1/19, 86, 18, 13, 1, 5
2022/1/20, 37, 50, 23, 1, 9
2022/1/21, 91, 86, 30, 1, 12
2022/1/22, 145, 89, 33, 2, 10
2022/1/23, 150, 38, 24, 2, 6
2022/1/24, 99, 85, 29, 2, 8
2022/1/25, 163, 66, 30, 1, 6
2022/1/26, 126, 86, 48, 1, 18
2022/1/27, 123, 98, 46, 1, 16
2022/1/28, 160, 74, 39, 1, 13
2022/1/29, 137, 52, 26, 2, 8
2022/1/30, 107, 96, 47, 1, 17
2022/1/31, 119, 108, 42, 2, 11
2022/2/1, 173, 102, 41, 2, 13
2022/2/2, 173, 113, 45, 2, 19
2022/2/3, 184, 114, 36, 1, 14
2022/2/4, 180, 94, 37, 2, 11
2022/2/5, 164, 68, 38, 2, 12
2022/2/6, 117, 23, 19, 1, 5
2022/2/7, 54, 54, 18, 1, 6
2022/2/8, 94, 40, 18, 1, 5
2022/2/9, 77, 45, 26, 1, 11
2022/2/10, 78, 74, 37, 2, 15
2022/2/11, 121, 82, 29, 2, 13
2022/2/12, 133, 64, 22, 1, 7
2022/2/13, 109, 49, 29, 2, 10
2022/2/14, 112, 18, 18, 2, 4
2022/2/15, 53, 26, 20, 1, 2
2022/2/16, 63, 42, 33, 1, 10
2022/2/17, 81, 59, 35, 2, 13
2022/2/18, 133, 85, 37, 2, 15
2022/2/19, 158, 112, 48, 2, 17
2022/2/20, 134, 75, 43, 2, 16
2022/2/21, 100, 68, 47, 2, 15
2022/2/22, 124, 63, 42, 2, 13
2022/2/23, 114, 72, 53, 2, 14
2022/2/24, 109, 84, 46, 2, 15
2022/2/25, 128, 112, 33, 2, 15
2022/2/26, 148, 102, 26, 2, 12
2022/2/27, 165, 79, 30, 2, 12
2022/2/28, 138, 63, 30, 2, 11
2022/3/1, 99, 44, 20, 2, 5
2022/3/2, 96, 34, 20, 2, 9
2022/3/3, 58, 39, 35, 2, 11
2022/3/4, 65, 49, 47, 2, 11
2022/3/5, 80, 48, 24, 2, 7
2022/3/6, 98, 31, 16, 2, 7
2022/3/7, 59, 22, 16, 2, 4
2022/3/8, 44, 43, 25, 2, 6
2022/3/9, 76, 28, 18, 2, 8
2022/3/10, 44, 49, 27, 2, 9
2022/3/11, 79, 26, 21, 2, 5
2022/3/12, 43, 28, 24, 2, 7
2022/3/13, 48, 29, 17, 1, 4
2022/3/14, 57, 38, 20, 2, 4
2022/3/15, 67, 32, 18, 2, 5
2022/3/16, 46, 75, 26, 2, 11
2022/3/17, 113, 21, 16, 1, 7
2022/3/18, 62, 18, 13, 2, 3
2022/3/19, 38, 34, 17, 2, 3
2022/3/20, 68, 42, 26, 2, 7
2022/3/21, 75, 27, 15, 2, 2
2022/3/22, 55, 35, 20, 2, 4
2022/3/23, 62, 27, 18, 2, 5
2022/3/24, 44, 57, 21, 2, 6
2022/3/25, 90, 74, 46, 2, 11
2022/3/26, 116, 14, 14, 2, 2
2022/3/27, 40, 44, 9, 1, 3
2022/3/28, 63, 35, 30, 3, 6
2022/3/29, 51, 28, 14, 2, 4
2022/3/30, 41, 36, 35, 2, 10
2022/3/31, 49, 40, 44, 3, 9
2021/10/1, 47, 24, , 2, 4
2021/10/2, 52, 18, , 1, 5
2021/10/3, 38, 16, , 1, 4
2021/10/4, 62, 16, , 1, 3
2021/10/5, 62, 16, , 1, 2
2021/10/6, 41, 57, , 1, 8
2021/10/7, 89, 44, , 1, 8
2021/10/8, 84, 54, , 1, 9
2021/10/9, 96, 18, , 2, 6
2021/10/10, 63, 26, , 1, 4
2021/11/4, 82, 50, , 1, 7
2021/11/5, 117, 68, , 1, 8
2021/11/6, 153, 78, , 1, 10
2021/11/7, 158, 118, , 1, 15
2021/11/8, 188, 80, , 1, 15
2021/11/9, 177, 102, , 1, 17
2021/11/10, 149, 83, , 1, 16
2021/11/11, 165, 58, , 1, 16
2021/11/12, 137, 56, , 1, 14
2021/11/13, 108, 74, , 1, 12
2021/11/14, 116, 31, , 1, 6
2021/11/15, 63, 39, 8, 1, 8
2021/11/16, 123, 47, 23, 2, 11
2021/11/17, 91, 35, 17, 1, 8
2021/11/18, 69, 36, 23, 1, 7
2021/11/19, 94, 59, 36, 1, 13
2021/11/20, 142, 18, 34, 1, 11
2021/11/21, 76, 33, 39, 1, 10
2021/11/22, 83, 74, 62, 2, 22
2021/11/23, 119, 51, 53, 2, 18
2021/11/24, 123, 55, 52, 2, 20
2021/11/25, 115, 21, 17, 1, 4
2021/11/26, 60, 66, 17, 1, 6
2021/11/27, 87, 65, 31, 1, 13
2021/11/28, 149, 41, 46, 2, 17
2021/11/29, 112, 113, 62, 2, 24
2021/11/30, 137, 58, 48, 2, 17
2021/12/1, 136, 60, , 2, 19
2021/12/2, 108, 64, , 2, 21
2021/12/3, 133, 84, , 2, 22
2021/12/4, 130, 76, , 2, 16
2021/12/5, 171, 64, , 2, 11
2021/12/6, 117, 58, , 2, 12
2021/12/7, 166, 41, , 1, 8
2021/12/8, 98, 37, 9, 1, 5
2021/12/9, 74, 75, 32, 1, 18
2021/12/10, 150, 51, 36, 2, 19
2021/12/11, 151, 53, 29, 2, 12
2021/12/12, 131, 45, 29, 2, 14
2021/12/13, 166, 67, 32, 1, 13
2021/12/14, 131, 101, 32, 1, 12
2021/12/15, 166, 63, 27, 1, 12
2021/12/16, 139, 71, 43, 2, 21
2021/12/17, 154, 67, 47, 2, 23
2021/12/18, 103, 50, 39, 2, 13
2021/12/19, 64, 45, 33, 1, 13
2021/12/20, 69, 68, 46, 1, 20
2021/12/21, 96, 48, 35, 2, 16
2021/12/22, 85, 79, 44, 2, 18
2021/12/23, 119, 53, 23, 2, 7
2021/12/24, 110, 89, 24, 1, 14
2021/12/25, 135, 91, 27, 2, 20
2021/12/26, 154, 19, 20, 1, 5
2021/12/27, 56, 37, 25, 1, 8
2021/12/28, 77, 88, 50, 1, 24
2021/12/29, 150, 56, 39, 1, 13
2021/12/30, 105, 84, 44, 2, 17
2021/12/31, 159, 122, 50, 2, 16
2022/1/1, 106, 98, 53, 1, 14
2022/1/2, 130, 63, 47, 2, 12
2021/7/8, 46, 31, 27, 1, 4
2021/7/9, 64, 37, 23, 1, 5
2021/7/10, 91, 54, 15, 1, 5
2021/7/11, 78, 37, 13, 1, 3
2021/7/12, 63, 29, 19, 1, 5
2021/7/13, 44, 24, 25, 1, 4
2021/7/14, 41, 19, 15, 1, 4
2021/7/15, 47, 18, 22, 1, 6
2021/7/16, 42, 15, 23, 1, 6
2021/7/17, 21, 13, 16, 1, 3
2021/7/18, 26, 19, 24, 1, 3
2021/7/19, 17, 17, 26, 1, 4
2021/7/20, 20, 6, 22, 1, 4
2021/7/21, 29, 13, 28, 1, 4
2021/7/22, 28, 13, 20, 1, 4
2021/7/23, 45, 25, 26, 1, 4
2021/7/24, 51, 21, 26, 1, 4
2021/7/25, 47, 17, 25, 1, 4
2021/7/26, 33, 11, 27, 1, 5
2021/7/27, 44, 20, 15, 1, 4
2021/7/28, 36, 20, 19, 1, 5
2021/7/29, 36, 11, 20, 1, 5
2021/7/30, 41, 14, 19, 1, 3
2021/7/31, 25, 15, 21, 1, 4
2021/8/1, 30, 13, 24, 1, 4
2021/8/3, 24, 3, 22, 1, 4
2021/8/4, 22, 20, , 1, 4
2021/8/5, 39, 19, , 1, 5
2021/8/6, 39, 14, , 2, 4
2021/8/7, 40, 18, , 2, 3
2021/8/8, 36, 13, , 1, 4
2021/8/9, 34, 17, , 1, 4
2021/8/10, 37, 12, , 1, 3
2021/8/11, 32, 15, , 1, 3
2021/8/12, 29, 14, , 2, 4
2021/8/13, 57, 26, , 1, 4
2021/8/14, 53, 26, , 1, 5
2021/8/15, 38, 15, , 1, 5
2021/8/16, 50, 24, , 1, 5
2021/8/17, 40, 27, , 1, 6
2021/8/18, 44, 28, 13, 1, 5
2021/8/19, 48, 22, 31, 1, 7
2021/8/20, 45, 31, 32, 1, 10
2021/8/23, 56, 23, 32, 2, 8
2021/8/24, 40, 22, 27, 2, 6
2021/8/25, 35, 15, 28, 1, 7
2021/8/26, 45, 19, 30, 1, 5
2021/8/27, 46, 13, 27, 1, 5
2021/8/28, 32, 19, 22, 1, 4
2021/8/29, 33, 16, 23, 1, 4
2021/8/30, 33, 14, 20, 1, 4
2021/8/31, 40, 19, 25, 1, 4
2021/9/1, 39, 16, 23, 1, 6
2021/9/2, 40, 16, 21, 2, 4
2021/9/3, 41, 20, 18, 2, 5
2021/9/10, 40, 21, 24, 2, 6
2021/9/11, 43, 25, 26, 1, 6
2021/9/12, 40, 14, 18, 1, 3
2021/9/13, 34, 20, 22, 1, 4
2021/9/14, 79, 22, 30, 1, 6
2021/9/15, 60, 23, 37, 2, 7
2021/9/16, 51, 29, 32, 2, 5
2021/9/17, 36, 25, 4, 2, 5
2021/9/18, 49, 15, , 2, 5
2021/9/19, 54, 9, , 1, 4
2021/9/20, 52, 15, , 2, 4
2021/9/21, 46, 26, , 2, 5
2021/9/22, 48, 22, , 2, 5
2021/9/23, 61, 29, , 2, 6
2021/9/24, 48, 21, , 2, 5
2021/9/25, 56, 23, , 1, 5
2021/9/26, 58, 24, , 1, 6
2021/9/27, 88, 43, , 1, 4
2021/9/28, 97, , , 1, 5
2021/9/29, 64, , , 1, 5
2021/9/30, 51, 28, 18, 2, 6
2021/4/1, 48, 19, 21, 1, 6
2021/4/2, 45, 39, 28, 1, 8
2021/4/3, 84, 31, 39, 1, 8
2021/4/4, 68, 16, 16, 1, 4
2021/4/5, 41, 36, 24, 1, 6
2021/4/6, 57, 31, 23, 1, 6
2021/4/7, 64, 24, 30, 1, 6
2021/4/8, 64, 31, 37, 1, 6
2021/4/9, 62, 28, 36, 1, 7
2021/4/10, 70, 29, 35, 1, 6
2021/4/11, 64, 30, 39, 1, 5
2021/4/12, 71, 25, 32, 1, 5
2021/4/13, 55, 38, 32, 1, 3
2021/4/14, 76, 40, 44, 1, 6
2021/4/15, 102, 36, 33, 1, 6
2021/4/16, 81, 25, 28, 1, 6
2021/4/17, 56, 16, 25, 1, 4
2021/4/18, 56, 14, 14, 1, 2
2021/4/19, 30, 17, 33, 1, 5
2021/4/20, 48, 14, 10, 1, 3
2021/4/21, 41, 30, 18, 1, 5
2021/4/22, 56, 22, 17, 1, 5
2021/4/23, 49, 29, 21, 2, 3
2021/4/24, 74, 52, 39, 1, 8
2021/4/25, 115, 28, 22, 2, 6
2021/4/26, 58, 35, 24, 2, 8
2021/4/27, 68, 30, 23, 2, 9
2021/4/28, 66, 24, 28, 1, 5
2021/4/29, 61, 25, 18, 1, 5
2021/4/30, 56, 14, 8, 1, 3
2021/5/1, 44, 39, 14, 1, 5
2021/5/2, 70, 23, 13, 1, 5
2021/5/3, 54, 27, 25, 1, 7
2021/5/4, 58, 45, 38, 1, 8
2021/5/5, 90, 38, 17, 1, 4
2021/5/6, 74, 22, 14, 1, 3
2021/5/7, 53, 17, 15, 1, 5
2021/5/8, 38, 20, 15, 1, 3
2021/5/9, 40, 37, 12, 1, 4
2021/5/10, 57, 16, 16, 1, 2
2021/5/11, 31, 11, 19, 1, 4
2021/5/12, 26, 19, 19, 1, 5
2021/5/13, 38, 22, 22, 2, 5
2021/5/14, 51, 23, 15, 1, 4
2021/5/15, 36, 19, 15, 1, 3
2021/5/16, 40, 21, 20, 1, 6
2021/5/17, 45, 20, 24, 1, 5
2021/5/18, 39, 18, 25, 2, 6
2021/5/19, 43, 13, 16, 1, 5
2021/5/20, 38, 16, 18, 1, 4
2021/5/21, 30, 18, 23, 1, 4
2021/5/22, 35, 26, 26, 2, 4
2021/5/23, 38, 45, 36, 1, 5
2021/5/24, 65, 20, 23, 1, 5
2021/5/25, 50, 20, 30, 2, 7
2021/5/26, 56, 19, 23, 1, 7
2021/5/27, 54, 21, 23, 1, 5
2021/5/28, 56, 20, 18, 1, 3
2021/5/29, 50, 17, 20, 1, 3
2021/5/30, 45, 12, 25, 1, 3
2021/5/31, 50, 9, 22, 1, 4
2021/6/1, 39, 21, 25, 1, 5
2021/6/2, 43, 14, 19, 1, 3
2021/6/3, 36, 11, 18, 1, 5
2021/6/4, 24, 16, 14, 1, 2
2021/6/5, 14, 23, 13, 2, 3
2021/6/7, 41, 31, 22, 1, 5
2021/6/8, 70, 23, 19, 1, 3
2021/6/9, 49, 12, 14, 1, 2
2021/6/10, 35, , 20, 1, 4
2021/6/11, 28, , 17, 1, 5
2021/6/12, 37, , 12, 1, 4
2021/6/13, 27, , 15, 1, 3
2021/6/14, 19, 12, 13, 1, 3
2021/6/15, 31, 12, 18, 1, 6
2021/6/16, 29, 11, 22, 1, 4
2021/6/17, 26, 10, 19, 1, 3
2021/6/18, 30, 8, 15, 1, 3
2021/6/19, 26, 20, 9, 2, 3
2021/6/20, 40, 19, 16, 1, 4
2021/6/21, 51, 16, 10, 1, 1
2021/6/22, 40, 12, 16, 1, 4
2021/1/4, 193, 123, , 1, 21
2021/1/5, 191, 120, , 1, 21
2021/1/6, 209, 157, , 1, 18
2021/1/7, 202, 154, , 1, 19
2021/1/8, 228, 172, , 1, 20
2021/1/9, 221, 71, , 1, 19
2021/1/10, 235, 64, , 1, 21
2021/1/11, 171, 46, , 1, 14
2021/1/12, 132, 43, 2, 1, 5
2021/1/13, 98, 54, 13, 1, 4
2021/1/14, 89, 109, 29, 1, 18
2021/1/15, 178, 55, 24, 1, 19
2021/1/16, 211, 126, 17, 1, 21
2021/1/17, 151, 56, 21, 1, 20
2021/1/18, 207, 35, 20, 1, 15
2021/1/19, 203, 42, 17, 1, 10
2021/1/20, 105, 82, 24, 1, 20
2021/1/21, 159, 14, 21, 1, 6
2021/1/22, 62, 28, 21, 1, 2
2021/1/23, 57, 20, 21, 1, 4
2021/1/24, 54, 119, 25, 1, 14
2021/1/25, 176, 105, , 2, 14
2021/1/26, 177, 106, , 1, 21
2021/1/27, 192, 106, 2, 1, 18
2021/1/28, 194, 173, , 1, 27
2021/1/29, 245, 144, , 1, 24
2021/1/30, 219, 89, , 1, 13
2021/1/31, 176, 39, , 2, 13
2021/2/1, 113, 74, , 1, 11
2021/2/2, 107, 80, , 1, 24
2021/2/3, 187, 71, , 1, 16
2021/2/4, 165, 46, , 1, 12
2021/2/5, 117, 69, , 1, 14
2021/2/6, 148, 34, , 1, 9
2021/2/7, 139, 47, , 1, 18
2021/2/8, 142, 26, , 1, 5
2021/2/9, 55, 64, , 1, 17
2021/2/10, 109, 112, , 1, 30
2021/2/11, 191, 99, , 1, 25
2021/2/12, 175, 73, , 1, 11
2021/2/13, 137, 82, , 1, 10
2021/2/14, 130, 99, , 1, 26
2021/2/15, 169, 53, , 1, 14
2021/2/16, 132, 65, , 1, 17
2021/2/17, 119, 76, , 1, 16
2021/2/18, 133, 59, , 1, 15
2021/2/19, 113, 35, , 1, 5
2021/2/20, 93, 50, , 1, 6
2021/2/21, 80, 73, , 1, 12
2021/2/22, 126, 70, 15, 1, 13
2021/2/23, 154, 45, 14, 1, 7
2021/2/24, 97, 18, , 1, 3
2021/2/25, 51, 42, , 1, 8
2021/2/26, 90, 98, , 2, 15
2021/2/27, 163, 82, , 2, 13
2021/2/28, 136, 45, , 2, 15
2021/3/1, 144, 32, , 2, 11
2021/3/2, 81, 26, , 1, 5
2021/3/3, 62, 51, , 2, 9
2021/3/4, 92, 25, , 1, 8
2021/3/5, 69, 38, , 2, 10
2021/3/6, 95, 24, , 2, 6
2021/3/7, 78, 37, , 2, 8
2021/3/8, 106, 48, 1, 1, 10
2021/3/9, 109, 46, , 2, 9
2021/3/10, 94, 30, , 1, 11
2021/3/11, 71, 39, , 2, 12
2021/3/12, 92, 27, , 1, 7
2021/3/13, 54, 36, , 1, 5
2021/3/14, 77, 38, , 1, 3
2021/3/15, 63, 64, , 1, 6
2021/3/16, 99, 53, , 1, 6
2021/3/17, 94, 46, 8, 1, 7
2021/3/18, 95, 55, 29, 1, 13
2021/3/19, 116, 42, 26, 1, 11
2021/3/20, 96, 36, 17, 1, 8
2021/3/21, 86, 31, 19, 1, 8
2021/3/22, 88, 41, 26, 1, 8
2021/3/23, 93, 28, 11, 1, 5
2021/3/24, 51, 32, 24, 1, 10
2021/3/25, 70, 13, 21, 1, 6
2021/3/26, 63, 26, 14, 1, 3
2021/3/27, 53, 10, 13, 1, 3
2021/3/28, 29, 16, 21, 1, 4
2021/3/29, 43, 13, 18, 1, 4
2021/3/30, 37, 24, 20, 1, 5
2021/3/31, 52, 15, 20, 1, 5
2020/10/1, 73, , , , 
2020/10/2, 85, , , , 
2020/10/3, 77, , , , 
2020/10/4, 56, , , , 
2020/10/5, 52, , , , 
2020/10/6, 53, , , , 
2020/10/7, 77, , , , 
2020/10/8, 78, , , , 
2020/10/9, 64, , , , 
2020/10/10, 75, , , , 
2020/10/11, 92, , , , 
2020/10/12, 104, , , , 
2020/10/13, 92, , , , 
2020/10/14, 98, , , , 
2020/10/15, 99, , , , 
2020/10/16, 104, , , , 
2020/10/17, 91, , , , 
2020/10/19, 72, , , , 
2020/10/20, 115, , , , 
2020/10/21, 83, , , , 
2020/10/22, 81, , , , 
2020/10/23, 89, , , , 
2020/10/24, 48, , , , 
2020/10/25, 41, , , , 
2020/10/26, 115, , , , 
2020/10/27, 94, , , , 
2020/10/28, 85, , , , 
2020/10/29, 78, , , , 
2020/10/30, 117, , , , 
2020/10/31, 103, , , , 
2020/11/1, 159, , , , 
2020/11/2, 127, , , , 
2020/11/3, 103, , , , 
2020/11/4, 84, , , , 
2020/11/5, 129, , , , 
2020/11/6, 138, , , , 
2020/11/7, 113, , , , 
2020/11/8, 104, , , , 
2020/11/9, 78, , , , 
2020/11/10, 52, , , , 
2020/11/11, 101, , , , 
2020/11/12, 70, , , , 
2020/11/13, 79, , , , 
2020/11/14, 113, , , , 
2020/11/15, 98, 41, , 30, 2
2020/11/16, 46, 14, , 40, 
2020/11/17, 65, 11, , 43, 
2020/11/18, 69, 13, 1, 29, 
2020/11/19, 62, 26, , 2, 
2020/11/20, 90, 53, , 3, 2
2020/11/21, 119, 156, , 4, 14
2020/11/22, 174, 80, , 5, 8
2020/11/23, 168, 120, , 5, 11
2020/11/24, 182, 130, , 5, 14
2020/11/25, 199, 110, , 8, 19
2020/11/26, 134, 127, 14, 7, 12
2020/11/27, 189, 58, 9, , 4
2020/11/28, 102, 25, , , 1
2020/11/29, 48, 48, , , 3
2020/11/30, 129, 62, , , 2
2020/12/1, 152, 122, , , 12
2020/12/2, 180, 142, , , 27
2020/12/3, 193, , , , 29
2020/12/4, 149, , , , 4
2020/12/5, 121, , , , 4
2020/12/6, 168, 74, 11, 1, 5
2020/12/7, 143, 73, 13, 3, 6
2020/12/8, 151, 101, , 17, 13
2020/12/9, 180, 189, , 7, 27
2020/12/10, 223, 70, , 5, 9
2020/12/11, 193, 72, , 6, 5
2020/12/12, 166, 55, , 7, 1
2020/12/13, 144, 57, , 7, 1
2020/12/14, 155, 59, , 8, 
2020/12/15, 142, 78, , 9, 
2020/12/16, 152, 103, , 11, 2
2020/12/17, 172, 176, , 14, 12
2020/12/18, 230, 223, , 18, 34
2020/12/19, 168, 97, 6, 7, 13
2020/12/20, 101, 33, 11, 1, 5
2020/12/21, 76, 88, 20, 2, 29
2020/12/22, 181, 99, 35, 2, 36
2020/12/23, 243, 113, 38, 1, 25
2020/12/24, 289, 111, 37, 2, 25
2020/12/25, 246, 109, 35, 2, 19
2020/12/26, 199, 105, 32, 1, 17
2020/12/27, 157, 145, 45, 2, 30
2020/12/28, 232, 53, 10, 2, 14
2020/12/29, 180, , , 1, 30
2020/12/30, 249, 147, 2, 1, 19
2020/12/31, 204, 172, , 1, 16
2021/1/1, 214, 93, , 1, 8
2021/1/2, 166, 121, , 1, 14
2021/1/3, 178, 147, , 1, 18
2020/7/1, 31, , , , 
2020/7/2, 47, , , , 
2020/7/3, 37, , , , 
2020/7/4, 30, , , , 
2020/7/5, 35, , , , 
2020/7/6, 26, , , , 
2020/7/7, 20, , , , 
2020/7/8, 47, , , , 
2020/7/9, 37, , , , 
2020/7/10, 32, , , , 
2020/7/11, 19, , , , 
2020/7/12, 22, , , , 
2020/7/13, 37, , , , 
2020/7/14, 38, , , , 
2020/7/15, 31, , , , 
2020/7/16, 40, , , , 
2020/7/17, 24, , , , 
2020/7/18, 31, , , , 
2020/7/19, 19, , , , 
2020/7/20, 33, , , , 
2020/7/21, 26, , , , 
2020/7/22, 25, , , , 
2020/7/23, 32, , , , 
2020/7/24, 47, , , , 
2020/7/25, 24, , , , 
2020/7/26, 30, , , , 
2020/7/27, 33, , , , 
2020/7/28, 31, , , , 
2020/7/29, 20, , , , 
2020/7/30, 23, , , , 
2020/7/31, 47, , , , 
2020/8/1, 36, , , , 
2020/8/2, 37, , , , 
2020/8/3, 37, , , , 
2020/8/4, 35, , , , 
2020/8/5, 35, , , , 
2020/8/6, 43, , , , 
2020/8/7, 57, , , , 
2020/8/8, 54, , , , 
2020/8/9, 47, , , , 
2020/8/10, 30, , , , 
2020/8/11, 31, , , , 
2020/8/12, 46, , , , 
2020/8/13, 40, , , , 
2020/8/14, 43, , , , 
2020/8/15, 51, , , , 
2020/8/16, 53, , , , 
2020/8/17, 52, , , , 
2020/8/18, 42, , , , 
2020/8/19, 34, , , , 
2020/8/20, 49, , , , 
2020/8/21, 31, , , , 
2020/8/22, 41, , , , 
2020/8/23, 45, , , , 
2020/8/24, 82, , , , 
2020/8/25, 78, , , , 
2020/8/26, 74, , , , 
2020/8/27, 41, , , , 
2020/8/28, 26, , , , 
2020/8/29, 40, , , , 
2020/8/30, 49, , , , 
2020/8/31, 61, , , , 
2020/9/1, 63, , , , 
2020/9/2, 48, , , , 
2020/9/3, 41, , , , 
2020/9/4, 25, , , , 
2020/9/5, 53, , , , 
2020/9/6, 48, , , , 
2020/9/7, 34, , , , 
2020/9/8, 51, , , , 
2020/9/9, 56, , , , 
2020/9/10, 51, , , , 
2020/9/11, 58, , , , 
2020/9/12, 62, , , , 
2020/9/13, 48, , , , 
2020/9/14, 59, , , , 
2020/9/15, 41, , , , 
2020/9/16, 66, , , , 
2020/9/17, 57, , , , 
2020/9/18, 33, , , , 
2020/9/19, 44, , , , 
2020/9/20, 35, , , , 
2020/9/21, 26, , , , 
2020/9/22, 45, , , , 
2020/9/23, 61, , , , 
2020/9/24, 55, , , , 
2020/9/25, 51, , , , 
2020/9/26, 37, , , , 
2020/9/27, 48, , , , 
2020/9/28, 46, , , , 
2020/9/29, 54, , , , 
2020/9/30, 69, , , , 
2020/4/1, 73, , , , 
2020/4/2, 27, , , , 
2020/4/3, 76, , , , 
2020/4/4, 48, , , , 
2020/4/5, 43, , , , 
2020/4/6, 49, , , , 
2020/4/7, 59, , , , 
2020/4/8, 48, , , , 
2020/4/9, 34, , , , 
2020/4/10, 39, , , , 
2020/4/11, 93, , , , 
2020/4/12, 73, , , , 
2020/4/13, 44, , , , 
2020/4/14, 42, , , , 
2020/4/15, 29, , , , 
2020/4/16, 56, , , , 
2020/4/17, 68, , , , 
2020/4/18, 42, , , , 
2020/4/19, 38, , , , 
2020/4/20, 39, , , , 
2020/4/21, 54, , , , 
2020/4/22, 30, , , , 
2020/4/23, 32, , , , 
2020/4/24, 32, , , , 
2020/4/25, 42, , , , 
2020/4/26, 57, , , , 
2020/4/27, 59, , , , 
2020/4/28, 63, , , , 
2020/4/29, 33, , , , 
2020/4/30, 19, , , , 
2020/5/1, 17, , , , 
2020/5/2, 44, , , , 
2020/5/3, 31, , , , 
2020/5/4, 17, , , , 
2020/5/5, 31, , , , 
2020/5/6, 29, , , , 
2020/5/7, 45, , , , 
2020/5/8, 30, , , , 
2020/5/9, 32, , , , 
2020/5/10, 30, , , , 
2020/5/11, 26, , , , 
2020/5/12, 40, , , , 
2020/5/13, 29, , , , 
2020/5/14, 41, , , , 
2020/5/15, 21, , , , 
2020/5/16, 50, , , , 
2020/5/17, 49, , , , 
2020/5/18, 62, , , , 
2020/5/19, 27, , , , 
2020/5/20, 26, , , , 
2020/5/21, 47, , , , 
2020/5/22, 34, , , , 
2020/5/23, 32, , , , 
2020/5/24, 36, , , , 
2020/5/25, 44, , , , 
2020/5/26, 67, , , , 
2020/5/27, 47, , , , 
2020/5/28, 47, , , , 
2020/5/29, 38, , , , 
2020/5/30, 35, , , , 
2020/5/31, 24, , , , 
2020/6/1, 50, , , , 
2020/6/2, 53, , , , 
2020/6/8, 35, , , , 
2020/6/9, 28, , , , 
2020/6/10, 30, , , , 
2020/6/11, 33, , , , 
2020/6/12, 36, , , , 
2020/6/15, 55, , , , 
2020/6/16, 24, , , , 
2020/6/17, 36, , , , 
