date, pm25, pm10, no2, so2, co
2024/1/20, 108, 49, , 1, 4
2024/1/21, 96, 99, , 1, 14
2024/1/22, 160, 77, , 1, 17
2024/1/23, 143, 112, , 1, 18
2024/1/24, 124, 74, , 1, 15
2024/1/25, 135, 41, , 1, 5
2024/1/26, 78, 92, , 1, 9
2024/1/27, 151, 96, , 1, 8
2024/1/28, 151, 107, , 1, 11
2024/1/29, 171, 75, , 1, 11
2024/1/30, 114, 47, 11, 1, 1
2024/1/31, 141, 45, 16, 1, 6
2024/2/1, 91, 29, 12, 1, 4
2024/2/2, 68, 77, 22, 1, 11
2024/2/3, 146, 76, 20, 1, 9
2024/2/4, 132, 73, 22, 1, 11
2024/2/5, 114, 126, 25, 1, 15
2024/2/6, 149, 92, 25, 1, 15
2024/2/7, 104, 25, 10, 1, 6
2024/2/8, 50, 65, 20, 1, 14
2024/2/9, 106, 74, 24, 1, 10
2024/2/10, 94, 38, 21, 1, 6
2024/2/11, 67, 34, 12, 1, 3
2024/2/12, 67, 80, 23, 1, 9
2024/2/13, 135, 92, 22, 1, 21
2024/2/14, 136, 38, 17, 1, 10
2024/2/15, 55, 30, 10, 1, 2
2024/2/16, 67, 38, , 1, 4
2024/2/17, 89, 73, , 1, 6
2024/2/18, 159, 27, , 1, 3
2024/2/19, 77, 47, , 1, 5
2024/2/20, 114, 97, , 1, 10
2024/2/21, 162, 88, , 1, 11
2024/2/22, 135, 63, , 1, 6
2024/2/23, 129, 43, , 1, 2
2024/2/24, 80, 63, , 1, 3
2024/2/25, 124, 74, , 1, 4
2024/2/26, 141, 58, , 1, 5
2024/2/27, 132, , , 1, 11
2024/2/28, 160, 103, 5, 1, 9
2024/2/29, 159, 84, 16, 1, 8
2024/3/1, 150, 75, 13, 1, 5
2024/3/2, 138, 68, 12, 1, 4
2024/3/3, 114, 43, 14, 1, 4
2024/3/4, 74, 64, 19, 1, 6
2024/3/5, 108, 94, 22, 1, 9
2024/3/6, 150, 47, 15, 1, 6
2024/3/7, 76, 51, 13, 1, 5
2024/3/8, 87, 63, 19, 1, 7
