ds,temp,wind_speed,humidity,pressure
2020-06-26,25.20,14.50,29.17,913.14
2020-06-27,18.70,16.80,55.00,916.70
2020-06-28,15.00,9.60,57.67,923.72
2020-06-29,17.80,12.50,50.79,922.06
2020-06-30,20.10,6.50,54.88,916.08
2020-07-01,23.00,14.40,44.25,916.42
2020-07-02,23.70,17.70,40.12,916.59
2020-07-03,20.20,9.50,46.04,922.42
2020-07-04,18.40,13.20,60.17,919.99
2020-07-05,20.20,15.50,51.04,916.85
2020-07-06,18.80,8.90,59.38,917.31
2020-07-07,21.50,8.90,47.92,918.30
2020-07-08,24.70,8.40,44.71,918.00
2020-07-09,22.60,8.90,51.25,916.02
2020-07-10,22.60,13.00,46.17,915.67
2020-07-11,23.50,10.50,42.21,916.63
2020-07-12,22.80,8.60,45.58,918.37
2020-07-13,22.50,6.50,41.00,917.75
2020-07-14,23.70,9.40,38.96,917.71
2020-07-15,22.80,9.00,41.46,918.92
2020-07-16,26.00,8.00,36.88,916.00
2020-07-17,27.70,16.20,32.00,914.28
2020-07-18,28.90,13.60,28.42,916.39
2020-07-19,27.50,20.90,30.00,917.35
2020-07-20,27.40,17.00,26.38,912.70
2020-07-21,26.10,18.90,31.25,913.60
2020-07-22,25.50,23.10,31.50,916.44
2020-07-23,26.70,16.90,28.25,916.10
2020-07-24,25.20,17.70,40.29,918.67
2020-07-25,25.80,9.50,46.42,922.02
2020-07-26,26.60,14.90,37.54,920.29
2020-07-27,21.80,14.70,56.04,920.75
2020-07-28,23.70,10.10,36.58,917.72
2020-07-29,22.80,16.50,44.29,919.16
2020-07-30,22.50,11.20,40.75,921.49
2020-07-31,22.10,9.30,47.54,918.33
2020-08-01,24.00,9.90,49.38,917.87
2020-08-02,23.90,10.70,46.38,917.69
2020-08-03,22.30,12.20,54.62,916.02
2020-08-04,24.40,17.20,40.62,913.71
2020-08-05,26.10,12.10,35.12,915.72
2020-08-06,27.20,9.00,35.75,918.60
2020-08-07,26.60,8.60,37.62,918.33
2020-08-08,27.60,10.20,34.54,915.67
2020-08-09,24.60,17.00,46.12,915.36
2020-08-10,25.90,10.20,34.33,915.75
2020-08-11,25.90,17.80,33.38,915.68
2020-08-12,24.50,12.10,38.88,916.74
2020-08-13,21.90,20.90,38.88,918.13
2020-08-14,21.40,6.40,42.21,917.73
2020-08-15,23.90,9.10,27.21,916.56
2020-08-16,26.10,22.20,29.33,915.79
2020-08-17,27.20,11.30,33.00,915.77
2020-08-18,19.20,15.20,65.25,918.22
2020-08-19,21.10,8.10,43.96,919.05
2020-08-20,22.20,8.80,42.12,916.55
2020-08-21,22.30,14.00,37.04,919.40
2020-08-22,23.20,7.60,34.29,917.66
2020-08-23,25.10,8.30,33.88,915.95
2020-08-24,27.90,13.90,31.17,913.23
2020-08-25,25.60,18.70,36.62,919.10
2020-08-26,21.00,15.50,51.33,920.57
2020-08-27,14.00,14.80,86.88,923.92
2020-08-28,17.70,7.50,59.58,925.11
2020-08-29,20.00,10.20,41.71,922.21
2020-08-30,20.70,7.70,50.75,921.05
2020-08-31,23.80,10.30,41.04,920.47
2020-09-01,21.50,7.90,54.83,922.45
2020-09-02,24.40,7.20,44.83,922.40
2020-09-03,21.10,14.00,58.79,923.44
2020-09-04,22.90,18.70,33.12,924.99
2020-09-05,20.70,6.80,42.88,921.62
2020-09-06,20.50,17.40,39.46,919.29
2020-09-07,16.10,12.00,40.08,926.50
2020-09-08,14.90,9.20,46.83,925.04
2020-09-09,17.50,8.00,37.71,924.42
2020-09-10,16.10,8.70,38.67,924.74
2020-09-11,17.30,9.00,35.17,923.40
2020-09-12,19.60,24.80,36.92,924.10
2020-09-13,17.80,8.80,42.25,927.21
2020-09-14,18.40,6.90,45.67,922.55
2020-09-15,20.00,10.20,35.83,922.08
2020-09-16,20.50,6.50,32.46,919.15
2020-09-17,17.40,15.00,39.96,920.42
2020-09-18,11.90,12.60,58.71,929.56
2020-09-19,11.70,9.50,53.71,929.89
2020-09-20,14.90,10.60,47.79,923.27
2020-09-21,18.00,8.60,26.12,922.79
2020-09-22,16.30,14.10,40.17,925.41
2020-09-23,15.00,8.00,45.92,925.18
2020-09-24,15.80,10.20,36.33,923.87
2020-09-25,12.40,10.90,40.96,925.06
2020-09-26,9.00,6.90,39.71,925.35
2020-09-27,7.10,7.30,61.71,925.56
2020-09-28,8.30,9.70,50.08,928.44
2020-09-29,8.30,6.40,45.62,930.47
2020-09-30,8.70,10.80,45.46,926.60
2020-10-01,9.00,8.20,48.79,928.35
2020-10-02,9.90,7.40,48.21,926.83
2020-10-03,13.10,8.00,46.88,927.11
2020-10-04,13.60,5.90,38.96,927.82
2020-10-05,13.80,11.20,33.04,926.08
2020-10-06,6.80,14.80,60.17,930.82
2020-10-07,4.90,8.10,55.88,932.60
2020-10-08,9.90,9.30,31.79,929.51
2020-10-09,7.20,8.40,55.58,934.26
2020-10-10,5.80,5.80,60.79,936.48
2020-10-11,7.10,6.80,49.67,935.05
2020-10-12,9.80,6.50,33.88,933.66
2020-10-13,10.20,10.90,34.12,932.98
2020-10-14,10.60,6.90,40.12,931.21
2020-10-15,12.10,7.70,39.04,931.22
2020-10-16,13.00,6.10,38.25,929.67
2020-10-17,13.40,6.50,31.62,926.70
2020-10-18,13.60,9.20,28.88,930.61
2020-10-19,13.40,14.30,23.21,932.46
2020-10-20,13.70,12.40,26.46,922.01
2020-10-21,16.10,8.90,17.04,923.50
2020-10-22,12.30,17.30,30.92,925.23
2020-10-23,4.80,6.90,78.96,927.10
2020-10-24,5.20,6.20,67.12,933.32
2020-10-25,7.50,4.80,51.38,932.99
2020-10-26,9.50,10.90,33.62,927.20
2020-10-27,11.90,11.20,32.96,920.45
2020-10-28,4.10,10.60,69.50,929.66
2020-10-29,2.60,9.00,59.62,939.90
2020-10-30,4.30,8.20,51.67,937.35
2020-10-31,5.70,6.60,45.83,932.81
2020-11-01,7.40,6.50,40.62,929.28
2020-11-02,8.90,7.00,26.17,928.80
2020-11-03,9.90,10.10,26.83,930.87
2020-11-04,6.00,11.10,40.96,933.79
2020-11-05,4.30,12.90,53.33,932.53
2020-11-06,6.20,13.80,42.71,927.35
2020-11-07,8.10,7.00,18.88,925.38
2020-11-08,12.60,19.40,19.58,921.09
2020-11-09,4.80,15.10,61.92,932.41
2020-11-10,3.30,9.70,62.33,929.26
2020-11-11,5.60,11.30,51.79,922.78
2020-11-12,4.80,13.70,65.54,927.05
2020-11-13,-0.30,14.80,79.54,931.25
2020-11-14,-0.70,15.10,72.00,926.95
2020-11-15,-0.20,10.90,67.50,929.28
