fold,test_month,n_train_days,n_test_days,is_heating_test,has_heating_in_train,MAE,RMSE,MAPE(%),R2
1,2017-06,39,30,False,False,5.746031028114997,7.204215399016148,28.04979191593546,-0.11830821431985328
2,2017-07,69,31,False,False,3.00897807466748,4.251410706833385,10.800653918123448,0.29544347283267325
3,2017-08,100,31,False,False,5.506304565960002,7.945395658142768,14.47009463066653,0.34189229141106803
4,2017-09,131,30,False,False,5.024995746678355,6.362285818311688,13.284606378694368,0.5790007325327717
5,2017-10,161,31,False,False,43.71343522543346,54.54087416455704,47.1224697817528,-1.3360910451722918
6,2018-04,343,30,False,True,14.634013867892808,18.128625540274104,32.40883576687364,0.16887709700300868
7,2018-05,373,31,False,True,6.094637506399765,7.217794840563783,23.006160611596968,0.5029641730094576
8,2018-06,404,30,False,True,7.052481072165109,9.511699854273663,21.84992000953715,0.22300862423376355
9,2018-07,434,31,False,True,3.7494339485213395,4.749280510660863,16.516108853734814,0.541065464361598
10,2018-08,465,31,False,True,5.077638639652706,6.127837262515343,14.827194852376108,0.4134920260533391
11,2018-09,496,30,False,True,12.21061930227496,23.83930367522506,20.704729603039887,0.4935149305841441
12,2018-10,526,31,False,True,13.230905713854785,23.297690002584915,31.054928780607817,-5.9956153842832105
13,2018-11,557,30,True,True,14.498380419139634,27.56996420694706,10.528470472305049,0.8447363597094157
14,2018-12,587,31,True,True,35.5254727286328,46.15392719720415,27.347801492882894,0.4205657707096493
15,2019-01,618,31,True,True,26.28486875427662,34.643032775174134,27.294366745076104,0.38201482839826395
16,2019-02,649,28,True,True,35.457656561614215,44.02909111873836,31.58535411368043,0.5305643505139281
17,2019-03,677,31,True,True,16.597180173391248,22.434930568116393,21.800477350341023,0.5740105930636858
18,2019-04,708,30,False,True,6.573483738360606,9.630442109057723,14.984022390884041,0.42224623734898903
19,2019-05,738,31,False,True,4.1259787015412055,5.328955749247359,13.932886225123747,0.5563538687847583
20,2019-06,769,30,False,True,3.7847330226923073,4.928471726747243,17.40719959580157,0.2737593018118971
21,2019-07,799,31,False,True,6.406594564521073,8.757724846042017,17.588927358236337,0.48274954005350346
22,2019-08,830,31,False,True,4.335277127650272,5.305904076720219,14.798392753920869,0.1137611590223212
23,2019-09,861,30,False,True,5.376951984321454,7.107818543059968,16.621176464718175,0.7172438223840882
24,2019-10,891,31,False,True,16.254477599562573,21.08738488778447,29.459776875493084,0.43610352566979926
25,2019-11,922,30,True,True,21.800084561490372,26.824750035699278,37.24334382099072,0.6205116038742458
26,2019-12,952,31,True,True,31.724238448162573,37.89173441975499,28.86882329214022,0.6700677744406132
27,2020-01,983,31,True,True,25.918860371808595,31.780802320479708,66.14612742873531,0.5889456022364346
