date,aqi
2017-03-24,208.4
2017-03-25,67.58
2017-03-26,45.68
2017-03-27,22.1
2017-03-28,45.43
2017-03-29,75.59
2017-03-30,74.74
2017-03-31,41.12
2017-04-01,47.24
2017-04-02,61.24
2017-04-03,26.87
2017-04-04,30.35
2017-04-05,33.83
2017-04-06,37.31
2017-04-07,40.78
2017-04-08,74.88
2017-04-09,116.11
2017-04-10,117.19
2017-04-11,99.35
2017-04-12,19.93
2017-04-13,25.71
2017-04-14,28.54
2017-04-15,46.63
2017-04-16,48.14
2017-04-17,24.03
2017-04-18,36.46
2017-04-19,57.97
2017-04-20,52.0
2017-04-21,31.03
2017-04-22,43.85
2017-04-23,33.5
2017-04-24,41.85
2017-04-25,46.44
2017-04-26,31.77
2017-04-27,19.79
2017-04-28,14.23
2017-04-29,25.35
2017-04-30,40.83
2017-05-01,42.05
2017-05-02,45.64
2017-05-03,43.94
2017-05-04,50.5
2017-05-05,38.32
2017-05-06,29.61
2017-05-07,38.39
2017-05-08,58.9
2017-05-09,29.28
2017-05-10,31.71
2017-05-11,22.34
2017-05-12,34.6
2017-05-13,35.97
2017-05-14,34.0
2017-05-15,22.98
2017-05-16,20.14
2017-05-17,25.29
2017-05-18,25.55
2017-05-19,26.25
2017-05-20,38.2
2017-05-21,54.09
2017-05-22,39.7
2017-05-23,24.68
2017-05-24,16.88
2017-05-25,22.41
2017-05-26,21.28
2017-05-27,35.63
2017-05-28,40.88
2017-05-29,23.19
2017-05-30,13.5
2017-05-31,16.19
2017-06-01,28.53
2017-06-02,26.42
2017-06-03,27.18
2017-06-04,26.29
2017-06-05,19.79
2017-06-06,17.78
2017-06-07,6.99
2017-06-08,19.29
2017-06-09,34.28
2017-06-10,27.87
2017-06-11,20.87
2017-06-12,35.34
2017-06-13,32.19
2017-06-14,22.6
2017-06-15,17.68
2017-06-16,33.03
2017-06-17,23.58
2017-06-18,17.37
2017-06-19,22.54
2017-06-20,18.97
2017-06-21,24.21
2017-06-22,27.52
2017-06-23,13.36
2017-06-24,15.92
2017-06-25,34.75
2017-06-26,29.32
2017-06-27,25.37
2017-06-28,17.49
2017-06-29,18.37
2017-06-30,31.16
2017-07-01,30.53
2017-07-02,23.83
2017-07-03,30.86
2017-07-04,28.61
2017-07-05,25.54
2017-07-06,25.31
2017-07-07,25.09
2017-07-08,24.86
2017-07-09,24.63
2017-07-10,24.41
2017-07-11,24.18
2017-07-12,23.95
2017-07-13,23.73
2017-07-14,23.5
2017-07-15,44.01
2017-07-16,25.13
2017-07-17,17.5
2017-07-18,21.31
2017-07-19,17.59
2017-07-20,25.18
2017-07-21,27.64
2017-07-22,27.37
2017-07-23,34.26
2017-07-24,27.68
2017-07-25,26.08
2017-07-26,31.42
2017-07-27,33.01
2017-07-28,29.24
2017-07-29,28.07
2017-07-30,33.59
2017-07-31,31.76
2017-08-01,31.34
2017-08-02,29.14
2017-08-03,36.73
2017-08-04,25.19
2017-08-05,27.95
2017-08-06,37.32
2017-08-07,32.74
2017-08-08,29.47
2017-08-09,30.1
2017-08-10,30.6
2017-08-11,26.36
2017-08-12,45.5
2017-08-13,51.3
2017-08-14,71.49
2017-08-15,37.83
2017-08-16,35.64
2017-08-17,27.62
2017-08-18,37.8
2017-08-19,46.47
2017-08-20,44.05
2017-08-21,27.06
2017-08-22,22.0
2017-08-23,24.55
2017-08-24,35.17
2017-08-25,36.36
2017-08-26,37.82
2017-08-27,51.04
2017-08-28,41.98
2017-08-29,37.43
2017-08-30,37.12
2017-08-31,35.97
2017-09-01,41.52
2017-09-02,40.7
2017-09-03,52.17
2017-09-04,46.4
2017-09-05,32.1
2017-09-06,28.9
2017-09-07,30.67
2017-09-08,31.14
2017-09-09,59.67
2017-09-10,53.91
2017-09-11,25.85
2017-09-12,27.74
2017-09-13,25.5
2017-09-14,30.9
2017-09-15,43.07
2017-09-16,54.22
2017-09-17,46.24
2017-09-18,33.58
2017-09-19,32.72
2017-09-20,27.68
2017-09-21,30.06
2017-09-22,41.25
2017-09-23,41.92
2017-09-24,26.35
2017-09-25,41.61
2017-09-26,52.35
2017-09-27,46.64
2017-09-28,29.05
2017-09-29,33.91
2017-09-30,46.6
2017-10-01,74.83
2017-10-02,77.17
2017-10-03,53.26
2017-10-04,23.27
2017-10-05,34.27
2017-10-06,54.16
2017-10-07,70.33
2017-10-08,97.89
2017-10-09,91.88
2017-10-10,79.9
2017-10-11,88.24
2017-10-12,86.74
2017-10-13,82.65
2017-10-14,80.28
2017-10-15,69.33
2017-10-16,89.22
2017-10-17,70.47
2017-10-18,56.21
2017-10-19,61.39
2017-10-20,64.29
2017-10-21,98.96
2017-10-22,75.69
2017-10-23,121.72
2017-10-24,61.93
2017-10-25,24.71
2017-10-26,39.98
2017-10-27,131.5
2017-10-28,147.65
2017-10-29,150.87
2017-10-30,174.28
2017-10-31,131.07
