iter	Passed	Remaining
0	29	87382
1	50	76381
2	72	72494
3	98	73676
4	118	71148
5	153	76776
6	174	74654
7	195	72987
8	217	72192
9	237	71159
10	259	70505
11	280	69849
12	301	69280
13	322	68863
14	345	68662
15	366	68424
16	388	68225
17	411	68140
18	433	68010
19	455	67895
20	477	67781
21	500	67720
22	527	68233
23	552	68560
24	577	68751
25	601	68755
26	624	68765
27	647	68762
28	672	68875
29	695	68896
30	719	68912
31	744	69081
32	768	69138
33	794	69306
34	818	69332
35	842	69398
36	866	69392
37	891	69515
38	916	69553
39	940	69593
40	964	69579
41	988	69601
42	1012	69619
43	1036	69625
44	1060	69632
45	1083	69575
46	1108	69619
47	1131	69569
48	1154	69558
49	1177	69495
50	1201	69455
51	1227	69605
52	1254	69753
53	1279	69792
54	1356	72640
55	1380	72596
56	1406	72597
57	1429	72514
58	1453	72457
59	1477	72386
60	1500	72294
61	1525	72279
62	1549	72232
63	1574	72212
64	1597	72130
65	1621	72080
66	1644	72005
67	1668	71950
68	1693	71923
69	1716	71861
70	1740	71807
71	1765	71787
72	1789	71737
73	1812	71655
74	1835	71600
75	1859	71526
76	1882	71462
77	1906	71410
78	1929	71343
79	1953	71313
80	1977	71248
81	2000	71191
82	2024	71142
83	2049	71144
84	2073	71101
85	2096	71052
86	2099	70309
87	2123	70253
88	2161	70689
89	2185	70662
90	2208	70613
91	2232	70562
92	2255	70515
93	2279	70466
94	2305	70502
95	2329	70457
96	2353	70444
97	2376	70382
98	2400	70333
99	2423	70281
100	2447	70242
101	2472	70242
102	2495	70202
103	2519	70171
104	2543	70123
105	2568	70114
106	2600	70302
107	2623	70253
108	2646	70192
109	2669	70145
110	2693	70095
111	2716	70046
112	2739	69997
113	2763	69970
114	2788	69947
115	2811	69909
116	2836	69888
117	2859	69846
118	2898	70174
119	2921	70108
120	2944	70063
121	2968	70019
122	2990	69955
123	3014	69906
124	3037	69873
125	3061	69820
126	3084	69778
127	3108	69737
128	3140	69901
129	3164	69859
130	3187	69809
131	3210	69753
132	3234	69714
133	3257	69664
134	3280	69620
135	3304	69589
136	3339	69790
137	3362	69742
138	3385	69690
139	3408	69634
140	3432	69605
141	3455	69550
142	3479	69508
143	3502	69461
144	3527	69451
145	3551	69421
146	3574	69377
147	3598	69340
148	3621	69292
149	3645	69264
150	3668	69218
151	3691	69173
152	3715	69134
153	3738	69087
154	3763	69070
155	3786	69033
156	3810	69004
157	3833	68958
158	3857	68925
159	3881	68898
160	3905	68871
161	3929	68840
162	3952	68797
163	3976	68768
164	4000	68734
165	4024	68701
166	4047	68668
167	4072	68648
168	4096	68630
169	4120	68594
170	4144	68562
171	4167	68521
172	4203	68685
173	4227	68662
174	4250	68615
175	4274	68578
176	4297	68545
177	4320	68504
178	4345	68476
179	4368	68433
180	4391	68402
181	4415	68362
182	4438	68325
183	4461	68286
184	4485	68249
185	4510	68233
186	4533	68193
187	4558	68190
188	4582	68148
189	4606	68122
190	4630	68097
191	4653	68060
192	4677	68032
193	4701	68000
194	4725	67974
195	4749	67946
196	4774	67927
197	4797	67895
198	4821	67864
199	4844	67826
200	4868	67788
201	4891	67757
202	4923	67838
203	4946	67795
204	4969	67759
205	4993	67722
206	5023	67779
207	5046	67738
208	5069	67697
209	5092	67657
210	5115	67622
211	5139	67589
212	5162	67549
213	5185	67514
214	5208	67474
215	5232	67441
216	5255	67404
217	5278	67365
218	5302	67329
219	5326	67311
220	5350	67284
221	5374	67249
222	5397	67209
223	5421	67183
224	5445	67165
225	5469	67132
226	5492	67099
227	5515	67061
228	5539	67035
229	5563	67002
230	5588	66985
231	5612	66959
232	5635	66929
233	5659	66894
234	5682	66860
235	5706	66837
236	5730	66809
237	5755	66790
238	5786	66848
239	5809	66811
240	5832	66775
241	5856	66742
242	5901	66959
243	5924	66913
244	5946	66871
245	5969	66834
246	5993	66796
247	6016	66758
248	6039	66720
249	6062	66683
250	6085	66652
251	6109	66617
252	6132	66588
253	6155	66551
254	6179	66515
