iter	RMSE
0	10.05431069
1	9.66902364
2	9.391185715
3	9.078586873
4	8.802446509
5	8.514961546
6	8.271601378
7	8.100543254
8	7.892766113
9	7.700472512
10	7.537964112
11	7.420384113
12	7.332524958
13	7.198529558
14	7.052023513
15	6.915828188
16	6.828505627
17	6.763006206
18	6.687515557
19	6.624784057
20	6.543466317
21	6.479457124
22	6.431386721
23	6.378209463
24	6.330159323
25	6.286839205
26	6.241916938
27	6.183147173
28	6.116791172
29	6.078551085
30	6.035777301
31	5.992894088
32	5.961781789
33	5.922275452
34	5.896934754
35	5.874900564
36	5.840139361
37	5.812066853
38	5.781262735
39	5.726376984
40	5.695393424
41	5.671143998
42	5.650288482
43	5.602858838
44	5.578858912
45	5.558771845
46	5.537267885
47	5.509335032
48	5.495471913
49	5.471103881
50	5.457575926
51	5.422404155
52	5.40383515
53	5.387899616
54	5.345234834
55	5.318098562
56	5.279927669
57	5.266850487
58	5.251431162
59	5.220362291
60	5.183193181
61	5.156292452
62	5.125827126
63	5.100686806
64	5.072086501
65	5.052150791
66	5.047301878
67	5.022365577
68	5.014124285
69	5.000733659
70	4.990767883
71	4.975179043
72	4.962895258
73	4.921065353
74	4.906933891
75	4.897948671
76	4.885819827
77	4.839022309
78	4.819289064
79	4.813198281
80	4.800053408
81	4.785101333
82	4.776605494
83	4.764047491
84	4.753009591
85	4.747135311
86	4.741580113
87	4.690898297
88	4.678423736
89	4.673148168
90	4.665052452
91	4.652458154
92	4.643950423
93	4.616576534
94	4.604066431
95	4.562040158
96	4.528935464
97	4.522149107
98	4.508007115
99	4.501558983
100	4.478832101
101	4.426056535
102	4.413049639
103	4.400632386
104	4.382836185
105	4.374718734
106	4.341768642
107	4.307434232
108	4.270494596
109	4.235808762
110	4.217141979
111	4.204957989
112	4.195441524
113	4.173874523
114	4.169395044
115	4.155466574
116	4.111238553
117	4.096018566
118	4.068467666
119	4.057431482
120	4.041407505
121	4.037609894
122	4.029464622
123	4.01477145
124	3.992326881
125	3.977867855
126	3.940084247
127	3.926965765
128	3.920489489
129	3.911262294
130	3.878101803
131	3.843072198
132	3.839870497
133	3.833461459
134	3.81849731
135	3.78568108
136	3.754132373
137	3.74521993
138	3.738589863
139	3.730741806
140	3.706696141	141	3.673364142	7.385045917
143	7.320578043
144	7.290224788
145	7.219557634
146	7.155022814
147	7.119347172
148	7.063860332
149	7.02329563
150	6.991191083
151	6.937353787
152	6.884842602
153	6.84493941
154	6.82271702
155	6.780014979
156	6.737531725
157	6.701150407
158	6.65888287
159	6.609129439
160	6.567938971
161	6.533228738
162	6.484161502
163	6.445121465
164	6.392135073
165	6.343949725
166	6.321188823
167	6.291272544
168	6.265260804
169	6.233555172
170	6.213327911
171	6.191803366
172	6.148454276
173	6.105000405
174	6.070064517
175	6.043229658
176	6.024000457
177	5.996878273
178	5.958600864
179	5.92637521
180	5.892600297
181	5.847618217
182	5.809313875
183	5.77348565
184	5.744896393
185	5.720315517
186	5.688934157
187	5.632297271
188	5.603997211
189	5.579259939
190	5.548103306
191	5.51912497
192	5.487147242
193	5.45963405
194	5.429667406
195	5.405291067
196	5.390173279
197	5.365712967
198	5.320003563
199	5.303844469
200	5.248920238
201	5.230462557
202	5.191517177
203	5.18096632
204	5.168595846
205	5.150489929
206	5.143454093
207	5.13400926
208	5.111848786
209	5.05515714
210	5.019881342
211	4.973462047
212	4.938011635
213	4.912813288
214	4.883054632
215	4.866539808
216	4.836573163
217	4.819896804
218	4.767799782
219	4.741002964
220	4.727309149
221	4.688282662
222	4.644079585
223	4.616543164
224	4.596780897
225	4.570807058
226	4.546846883
227	4.534702199
228	4.502526053
229	4.480017541
230	4.442731873
231	4.394351148
232	4.353402096
233	4.327351705
234	4.300571379
235	4.276861012
236	4.253641926
237	4.235942694
238	4.209715275
239	4.187672574
240	4.168675975
241	4.151175086
242	4.14129053
243	4.111925896
244	4.10714065
245	4.061385116
246	4.049065012
247	4.023926118
248	4.006415795
249	3.967630143
250	3.948853955
251	3.933789211
252	3.916348458
253	3.878860285
254	3.850370832
255	3.816412299
256	3.79861755
257	3.770131755
258	3.745018681
259	3.73098876
260	3.710956307
261	3.690880867
262	3.683634847
263	3.663675935
264	3.645879014
265	3.624701634
266	3.608491103
267	3.587947333
268	3.566539297
269	3.545063933
270	3.522072112
271	3.492859295
272	3.479951015
273	3.471561466
274	3.453852984
275	3.427133079
276	3.41851334
277	3.401087186
278	3.38191104
279	3.368289954
280	3.353581539
281	3.32408963
282	3.304771242
283	3.290587139
284	3.276655901
285	3.262879247
286	3.257790831
287	3.242743068
288	3.230521323
289	3.203932439
290	3.196684581
291	3.177008684
292	3.152613038
293	3.129013867
294	3.115867942
295	3.097336744
296	3.081535995
297	3.061084501
298	3.034593856
299	3.013137937
300	2.995981675
301	2.98562654
302	2.971701904
303	2.951856926
304	2.92920588
305	2.915608383
306	2.894455325
307	2.883950472
308	2.872133966
309	2.844054812
310	2.823304666
311	2.800091055
312	2.775426091
313	2.761677772
314	2.74347949
315	2.730641209
316	2.718178775
317	2.714300445
318	2.694078749
319	2.6837626
320	2.662838299
321	2.65479348
322	2.638076472
323	2.629224688
324	2.625805374
325	2.615553508
326	2.612877763
327	2.594699508
328	2.57726702
329	2.559365094
330	2.53770553
331	2.514761214
332	2.498182479
333	2.488299398
334	2.459947046
335	2.441482067
336	2.424269164
337	2.416583049
338	2.409109046
339	2.405624995
340	2.38435838
341	2.360917899
342	2.351537431
343	2.341964918
344	2.331976234
345	2.31114245
346	2.30332024
347	2.283514109
348	2.266753201
349	2.248991655
350	2.231812857
351	2.219468291
352	2.210973318
353	2.202906085
354	2.198720436
355	2.195808965
356	2.187819916
357	2.170228109
358	2.15497831
359	2.142397439
360	2.134343565
361	2.122476111
362	2.112355255
363	2.103786412
364	2.094090532
365	2.088375378
366	2.08009496
367	2.070828912
368	2.05132599
369	2.048868282
370	2.039833521
371	2.022454666
372	2.016396962
373	2.000382446
374	1.980857646
375	1.968615327
376	1.957508563
377	1.947623043
378	1.929753352
379	1.920417557
380	1.909606707
381	1.901203702
382	1.885150637
383	1.872410328
384	1.864717541
385	1.848424398
386	1.843048767
387	1.835323667
388	1.822658103
389	1.807513547
390	1.803296768
391	1.799291297
392	1.785643306
393	1.77921293
394	1.767165091
395	1.755747348
396	1.74745551
397	1.737337132
398	1.732170516
399	1.722744324
400	1.713079717
401	1.707101426
402	1.700341633
403	1.692278629
404	1.687202576
405	1.684385861
406	1.675901666
407	1.663286299
408	1.654397271
409	1.637815404
410	1.628863823
411	1.617219538
412	1.613836957
413	1.59945965
414	1.592539502
415	1.58682711
416	1.579087809
417	1.566041151
418	1.564600097
419	1.551015995
420	1.549233261
421	1.534217216
422	1.524615814
423	1.514829346
424	1.510088728
425	1.501922004
426	1.493438705
427	1.492185529
428	1.484264643
429	1.471413765
430	1.46141545
431	1.447954214
432	1.433529725
433	1.428576564
434	1.418940897
435	1.411314203
436	1.407880357
437	1.402312232
438	1.390353113
439	1.38095571
440	1.374709192
441	1.370090756
442	1.361639476
443	1.360437338
444	1.357528327
445	1.354268499
446	1.350596155
447	1.338156438
448	1.328545913
449	1.326433711
450	1.320625649
451	1.315939495
452	1.310599028
453	1.301379539
454	1.294272781
455	1.283347862
456	1.274285373
457	1.267663243
458	1.254124569
459	1.24746646
460	1.236041539
461	1.228648054
462	1.218099595
463	1.209440049
464	1.204371695
465	1.198428675
466	1.191300953
467	1.187823767
468	1.183023866
469	1.174980361
470	1.167162036
471	1.158508809
472	1.1513547
473	1.149827161
474	1.143718879
475	1.13911429
476	1.130148927
477	1.120253605
478	1.116917014
479	1.10714221
480	1.10159739
481	1.099219081
482	1.092581087
483	1.087178841
484	1.079770332
485	1.076001137
486	1.064604828
487	1.06307201
488	1.057904507
489	1.054984851
490	1.051343276
491	1.047130592
492	1.038903225
493	1.028598252
494	1.021356273
495	1.015307472
496	1.009494053
497	1.003878713
498	0.9955479686
499	0.9932716416
500	0.9892164075
501	0.9857727044
502	0.9826791711
503	0.9775661887
504	0.973404497
505	0.97223076
506	0.9664887531
507	0.9633908144
508	0.9546547367
509	0.9467289249
510	0.9417869243
511	0.9377782621
512	0.9331195815
513	0.9300672364
514	0.9236564042
515	0.9206747789
516	0.9130656869
517	0.910281587
518	0.9064143522
519	0.9025525293
520	0.8949588648
521	0.8928726714
522	0.8860284825
523	0.8834914992
524	0.8794194603
525	0.8706762519
526	0.867527124
527	0.8608615182
528	0.8592084531
529	0.8540203509
530	0.8504388432
531	0.8441002513
532	0.8383599343
533	0.8351785713
534	0.8318135733
535	0.8266705965
536	0.8231429863
537	0.8185183486
538	0.8179363086
539	0.8147103608
540	0.8127443358
541	0.8073766926
542	0.8020179956
543	0.7965212721
544	0.7934000978
545	0.7893322142
546	0.7884315544
547	0.7830531491
548	0.7805321621
549	0.7766930045
550	0.776313406
551	0.7756092909
552	0.769255079
553	0.7624690689
554	0.7587419537
555	0.7561459159
556	0.7527647792
557	0.7515819799
558	0.7500628291
559	0.7440917049
560	0.7429416737
561	0.7391989658
562	0.7368613972
563	0.7334881731
564	0.7275456105
565	0.7234118681
566	0.7185822245
567	0.7156756552
568	0.7078041029
569	0.705152066
570	0.7020994188
571	0.6992972711
572	0.696436835
573	0.6920340375
574	0.6906245795
575	0.6879852988
576	0.6845618645
577	0.6831221433
578	0.6825558558
579	0.6805438839
580	0.6763791239
581	0.6712051726
582	0.6689311429
583	0.667081033
584	0.6634295488
585	0.6592634521
586	0.6542716548
587	0.6468076148
588	0.6444924574
589	0.6425368099
590	0.6396725929
591	0.636186421
592	0.6297386395
593	0.6249786672
594	0.6232763093
595	0.6226491501
596	0.6173542644
597	0.6134637121
598	0.6097730962
599	0.6091105138
600	0.6058606698
601	0.6034581201
602	0.6008917195
603	0.600212576
604	0.5965698824
605	0.5935995962
606	0.5902856585
607	0.5875374629
608	0.5826798927
609	0.5809613249
610	0.5750559025
611	0.5713673464
612	0.566686272
613	0.565030885
614	0.5628773379
615	0.5583256264
616	0.5535758746
617	0.5498765484
618	0.5482324468
619	0.5470484574
