iter	Passed	Remaining
0	14	29070
1	34	34527
2	46	30646
3	53	26589
4	65	26108
5	83	27888
6	88	25112
7	95	23694
8	104	23147
9	111	22236
10	130	23611
11	135	22396
12	143	21919
13	153	21750
14	161	21325
15	166	20617
16	180	21028
17	185	20430
18	197	20592
19	206	20453
20	214	20241
21	221	19937
22	234	20160
23	243	20042
24	254	20112
25	265	20162
26	275	20153
27	292	20601
28	300	20439
29	311	20445
30	329	20944
31	336	20710
32	340	20305
33	347	20081
34	354	19899
35	363	19837
36	372	19771
37	379	19573
38	393	19809
39	412	20197
40	424	20265
41	430	20068
42	442	20134
43	447	19908
44	453	19680
45	460	19571
46	470	19559
47	485	19757
48	489	19508
49	499	19495
50	505	19334
51	513	19228
52	516	18962
53	526	18977
54	541	19159
55	553	19217
56	562	19179
57	576	19288
58	591	19448
59	593	19186
60	605	19250
61	614	19211
62	630	19393
63	635	19224
64	644	19172
65	658	19289
66	668	19280
67	673	19143
68	678	18990
69	689	19021
70	697	18937
71	713	19103
72	719	18982
73	730	19009
74	733	18822
75	745	18875
76	755	18875
77	769	18960
78	777	18911
79	789	18946
80	805	19076
81	808	18910
82	818	18895
83	823	18782
84	834	18805
85	839	18689
86	851	18728
87	864	18772
88	882	18949
89	889	18870
90	893	18750
91	902	18725
92	911	18682
93	919	18640
94	932	18704
95	949	18828
96	952	18690
97	968	18796
98	980	18833
99	994	18890
100	1001	18826
101	1015	18897
102	1023	18851
103	1036	18902
104	1042	18817
105	1045	18684
106	1051	18605
107	1056	18510
108	1065	18484
109	1080	18557
110	1090	18561
111	1103	18600
112	1116	18641
113	1131	18719
114	1134	18595
115	1141	18540
116	1155	18597
117	1164	18576
118	1171	18519
119	1177	18441
120	1188	18463
121	1197	18439
122	1207	18433
123	1222	18501
124	1225	18376
125	1231	18321
126	1245	18366
127	1251	18306
128	1257	18243
129	1265	18206
130	1275	18195
131	1283	18170
132	1293	18161
133	1310	18244
134	1313	18149
135	1329	18219
136	1338	18195
137	1355	18284
138	1358	18191
139	1364	18134
140	1372	18091
141	1386	18144
142	1392	18079
143	1397	18015
144	1404	17969
145	1416	179143	2716	35014
144	2735	34995
145	2753	34971
146	2772	34949
147	2795	34985
148	2817	34997
149	2833	34947
150	2851	34919
151	2878	34991
152	2895	34951
153	2909	34878
154	2927	34842
155	2951	34891
156	2976	34936
157	2992	34889
158	3021	34984
159	3033	34890
160	3055	34897
161	3074	34883
162	3093	34859
