date,aqi
2018-04-29,2.59
2018-04-30,8.29
2018-05-01,10.15
2018-05-02,10.23
2018-05-03,10.32
2018-05-04,10.4
2018-05-05,10.48
2018-05-06,10.57
2018-05-07,10.65
2018-05-08,10.73
2018-05-09,10.82
2018-05-10,10.9
2018-05-11,10.99
2018-05-12,9.86
2018-05-13,9.95
2018-05-14,25.49
2018-05-15,22.31
2018-05-16,13.4
2018-05-17,10.52
2018-05-18,8.15
2018-05-19,13.99
2018-05-20,16.17
2018-05-21,19.85
2018-05-22,9.7
2018-05-23,6.91
2018-05-24,9.66
2018-05-25,11.76
2018-05-26,19.12
2018-05-27,10.28
2018-05-28,7.13
2018-05-29,9.22
2018-05-30,5.56
2018-05-31,9.27
2018-06-01,13.42
2018-06-02,7.5
2018-06-03,21.59
2018-06-04,30.75
2018-06-05,11.56
2018-06-06,10.21
2018-06-07,8.46
2018-06-08,21.87
2018-06-09,14.36
2018-06-10,12.11
2018-06-11,9.75
2018-06-12,6.44
2018-06-13,9.0
2018-06-14,10.45
2018-06-15,11.37
2018-06-16,10.04
2018-06-17,18.0
2018-06-18,7.71
2018-06-19,10.07
2018-06-20,8.23
2018-06-21,8.03
2018-06-22,7.39
2018-06-23,9.36
2018-06-24,7.9
2018-06-25,6.27
2018-06-26,7.92
2018-06-27,15.67
2018-06-28,13.81
2018-06-29,16.85
2018-06-30,12.16
2018-07-01,10.48
2018-07-02,9.58
2018-07-03,8.59
2018-07-04,11.45
2018-07-05,12.31
2018-07-06,13.82
2018-07-07,16.48
2018-07-08,13.66
2018-07-09,7.19
2018-07-10,16.52
2018-07-11,13.44
2018-07-12,7.8
2018-07-13,9.82
2018-07-14,12.5
2018-07-15,9.58
2018-07-16,8.94
2018-07-17,9.74
2018-07-18,13.37
2018-07-19,18.5
2018-07-20,27.14
2018-07-21,23.23
2018-07-22,19.33
2018-07-23,15.42
2018-07-24,14.06
2018-07-25,16.05
2018-07-26,13.49
2018-07-27,11.42
2018-07-28,15.53
2018-07-29,12.85
2018-07-30,14.32
2018-07-31,11.85
2018-08-01,16.32
2018-08-02,15.3
2018-08-03,11.04
2018-08-04,12.96
2018-08-05,11.54
2018-08-06,13.71
2018-08-07,17.29
2018-08-08,10.22
2018-08-09,13.32
2018-08-10,12.43
2018-08-11,16.93
2018-08-12,18.76
2018-08-13,11.26
2018-08-14,17.23
2018-08-15,20.55
2018-08-16,18.1
2018-08-17,10.3
2018-08-18,11.77
2018-08-19,11.41
2018-08-20,11.6
2018-08-21,18.87
2018-08-22,29.09
2018-08-23,21.07
2018-08-24,14.8
2018-08-25,15.02
2018-08-26,12.99
2018-08-27,8.7
2018-08-28,14.79
2018-08-29,8.2
2018-08-30,11.65
2018-08-31,13.27
2018-09-01,14.88
2018-09-02,15.65
2018-09-03,17.72
2018-09-04,19.49
2018-09-05,20.45
2018-09-06,17.53
2018-09-07,24.83
2018-09-08,16.78
2018-09-09,22.86
2018-09-10,31.62
2018-09-11,18.83
2018-09-12,14.88
2018-09-13,16.98
2018-09-14,25.37
2018-09-15,24.63
2018-09-16,15.56
2018-09-17,13.54
2018-09-18,17.08
2018-09-19,24.9
2018-09-20,27.0
2018-09-21,16.33
2018-09-22,18.93
2018-09-23,18.58
2018-09-24,8.05
2018-09-25,12.49
2018-09-26,19.23
2018-09-27,24.72
2018-09-28,24.0
2018-09-29,23.28
2018-09-30,22.56
2018-10-01,21.85
2018-10-02,21.13
2018-10-03,20.41
2018-10-04,19.69
2018-10-05,18.97
2018-10-06,18.26
2018-10-07,17.16
2018-10-08,14.69
2018-10-09,30.36
2018-10-10,33.67
2018-10-11,29.31
2018-10-12,23.22
2018-10-13,20.85
2018-10-14,16.55
2018-10-15,70.84
2018-10-16,29.36
2018-10-17,20.82
2018-10-18,43.84
2018-10-19,43.59
2018-10-20,35.07
2018-10-21,46.42
2018-10-22,28.21
2018-10-23,24.19
2018-10-24,36.09
2018-10-25,40.75
2018-10-26,44.4
2018-10-27,29.19
2018-10-28,20.09
2018-10-29,18.34
2018-10-30,33.15
2018-10-31,32.06
2018-11-01,30.97
2018-11-02,54.96
2018-11-03,40.99
2018-11-04,46.03
2018-11-05,47.74
2018-11-06,54.88
2018-11-07,34.15
2018-11-08,40.46
2018-11-09,39.67
2018-11-10,32.32
2018-11-11,69.02
2018-11-12,26.37
2018-11-13,57.91
2018-11-14,116.38
2018-11-15,126.66
2018-11-16,151.3
2018-11-17,160.56
2018-11-18,83.43
2018-11-19,168.32
2018-11-20,103.44
2018-11-21,58.38
2018-11-22,50.76
2018-11-23,45.03
2018-11-24,43.79
2018-11-25,47.71
2018-11-26,97.35
2018-11-27,53.13
2018-11-28,76.07
2018-11-29,46.86
2018-11-30,20.95
2018-12-01,54.31
2018-12-02,78.43
2018-12-03,99.26
2018-12-04,124.35
2018-12-05,178.99
2018-12-06,214.91
2018-12-07,268.74
2018-12-08,185.99
2018-12-09,241.95
2018-12-10,132.85
2018-12-11,94.82
2018-12-12,119.91
2018-12-13,124.49
2018-12-14,134.12
2018-12-15,85.72
2018-12-16,39.26
2018-12-17,75.76
2018-12-18,69.41
2018-12-19,90.69
2018-12-20,74.03
2018-12-21,67.9
2018-12-22,111.8
2018-12-23,124.83
2018-12-24,177.83
2018-12-25,161.23
2018-12-26,118.98
2018-12-27,186.02
2018-12-28,173.11
2018-12-29,142.09
2018-12-30,68.8
2018-12-31,65.61
2019-01-01,65.66
2019-01-02,100.36
2019-01-03,144.0
2019-01-04,54.07
2019-01-05,78.84
2019-01-06,100.32
2019-01-07,90.24
2019-01-08,62.58
2019-01-09,59.82
2019-01-10,120.84
2019-01-11,95.69
2019-01-12,37.35
2019-01-13,114.82
2019-01-14,141.2
2019-01-15,56.35
2019-01-16,31.64
2019-01-17,103.26
2019-01-18,103.0
2019-01-19,123.67
2019-01-20,128.67
2019-01-21,36.22
2019-01-22,61.74
2019-01-23,57.24
2019-01-24,89.66
2019-01-25,98.69
2019-01-26,106.42
2019-01-27,81.63
2019-01-28,118.79
2019-01-29,77.75
2019-01-30,83.61
2019-01-31,66.45
2019-02-01,54.61
2019-02-02,87.47
2019-02-03,126.81
2019-02-04,111.58
2019-02-05,62.17
2019-02-06,35.0
2019-02-07,101.74
2019-02-08,106.62
2019-02-09,127.24
2019-02-10,75.39
2019-02-11,102.17
2019-02-12,70.82
2019-02-13,97.91
2019-02-14,79.93
2019-02-15,28.49
2019-02-16,109.74
2019-02-17,105.65
2019-02-18,38.72
2019-02-19,60.41
2019-02-20,39.96
2019-02-21,27.72
2019-02-22,58.43
2019-02-23,85.92
2019-02-24,54.68
2019-02-25,59.98
2019-02-26,65.18
2019-02-27,87.0
2019-02-28,82.57
2019-03-01,73.59
2019-03-02,93.26
2019-03-03,42.1
2019-03-04,42.05
2019-03-05,49.93
2019-03-06,50.52
2019-03-07,62.9
2019-03-08,68.53
2019-03-09,70.33
2019-03-10,65.19
2019-03-11,67.14
2019-03-12,77.65
2019-03-13,63.71
2019-03-14,61.89
2019-03-15,48.53
2019-03-16,39.43
2019-03-17,65.27
2019-03-18,49.72
2019-03-19,34.33
2019-03-20,65.03
2019-03-21,63.24
2019-03-22,65.43
2019-03-23,77.96
2019-03-24,36.12
2019-03-25,26.01
2019-03-26,29.58
2019-03-27,40.41
2019-03-28,50.74
2019-03-29,30.76
2019-03-30,26.61
2019-03-31,32.71
2019-04-01,25.49
2019-04-02,31.6
2019-04-03,38.57
2019-04-04,27.0
2019-04-05,24.14
2019-04-06,17.29
2019-04-07,31.19
2019-04-08,43.15
2019-04-09,34.28
2019-04-10,28.09
2019-04-11,41.14
2019-04-12,32.08
2019-04-13,16.81
2019-04-14,23.56
2019-04-15,18.14
2019-04-16,19.36
2019-04-17,9.62
2019-04-18,10.72
2019-04-19,29.98
2019-04-20,32.87
2019-04-21,37.5
2019-04-22,25.88
2019-04-23,21.27
2019-04-24,29.17
2019-04-25,8.14
2019-04-26,22.76
2019-04-27,21.09
2019-04-28,23.27
2019-04-29,18.78
2019-04-30,15.62
2019-05-01,15.77
2019-05-02,12.35
2019-05-03,18.26
2019-05-04,28.01
2019-05-05,18.15
2019-05-06,16.07
2019-05-07,9.15
2019-05-08,12.76
2019-05-09,13.45
2019-05-10,14.69
2019-05-11,19.92
2019-05-12,18.02
2019-05-13,11.35
2019-05-14,14.61
2019-05-15,13.74
2019-05-16,37.65
2019-05-17,17.35
2019-05-18,20.89
2019-05-19,16.61
2019-05-20,13.62
2019-05-21,9.72
2019-05-22,16.19
2019-05-23,14.07
2019-05-24,22.62
2019-05-25,19.29
2019-05-26,12.46
2019-05-27,9.05
2019-05-28,10.2
2019-05-29,8.21
2019-05-30,8.37
2019-05-31,5.79
2019-06-01,8.44
2019-06-02,12.04
2019-06-03,8.63
2019-06-04,7.99
2019-06-05,7.03
2019-06-06,5.52
2019-06-07,10.74
2019-06-08,9.59
2019-06-09,10.81
2019-06-10,7.5
2019-06-11,9.54
2019-06-12,7.34
2019-06-13,8.25
2019-06-14,10.2
2019-06-15,6.55
2019-06-16,14.68
2019-06-17,14.15
2019-06-18,14.69
2019-06-19,15.23
2019-06-20,15.77
2019-06-21,16.31
2019-06-22,16.84
2019-06-23,17.38
2019-06-24,17.92
2019-06-25,13.65
2019-06-26,14.84
2019-06-27,15.93
2019-06-28,17.2
2019-06-29,18.45
2019-06-30,19.6
2019-07-01,21.02
2019-07-02,21.97
2019-07-03,22.78
2019-07-04,22.98
2019-07-05,22.88
2019-07-06,23.07
2019-07-07,23.12
2019-07-08,22.95
2019-07-09,26.01
2019-07-10,26.55
2019-07-11,27.09
2019-07-12,27.63
2019-07-13,28.17
2019-07-14,28.71
