date,aqi
2018-03-31,6.09
2018-04-01,10.17
2018-04-02,14.25
2018-04-03,18.33
2018-04-04,22.41
2018-04-05,26.49
2018-04-06,30.57
2018-04-07,34.65
2018-04-08,38.73
2018-04-09,71.43
2018-04-10,32.92
2018-04-11,16.69
2018-04-12,51.22
2018-04-13,76.68
2018-04-14,70.77
2018-04-15,54.55
2018-04-16,48.85
2018-04-17,58.58
2018-04-18,23.47
2018-04-19,42.78
2018-04-20,54.5
2018-04-21,50.22
2018-04-22,95.75
2018-04-23,90.01
2018-04-24,42.02
2018-04-25,19.38
2018-04-26,20.89
2018-04-27,30.69
2018-04-28,51.01
2018-04-29,70.02
2018-04-30,67.58
2018-05-01,23.37
2018-05-02,25.65
2018-05-03,15.57
2018-05-04,26.73
2018-05-05,33.07
2018-05-06,18.78
2018-05-07,43.97
2018-05-08,84.06
2018-05-09,51.86
2018-05-10,34.63
2018-05-11,39.21
2018-05-12,14.67
2018-05-13,23.39
2018-05-14,27.77
2018-05-15,27.59
2018-05-16,39.09
2018-05-17,25.78
2018-05-18,18.54
2018-05-19,31.68
2018-05-20,31.24
2018-05-21,44.86
2018-05-22,28.97
2018-05-23,12.45
2018-05-24,14.18
2018-05-25,43.18
2018-05-26,57.98
2018-05-27,25.56
2018-05-28,12.0
2018-05-29,29.79
2018-05-30,17.8
2018-05-31,10.73
2018-06-01,40.98
2018-06-02,34.23
2018-06-03,27.42
2018-06-04,54.06
2018-06-05,32.84
2018-06-06,59.6
2018-06-07,52.61
2018-06-08,45.61
2018-06-09,38.61
2018-06-10,31.61
2018-06-11,24.61
2018-06-12,26.56
2018-06-13,20.57
2018-06-14,17.4
2018-06-15,14.74
2018-06-16,26.31
2018-06-17,51.96
2018-06-18,34.68
2018-06-19,20.03
2018-06-20,23.05
2018-06-21,17.22
2018-06-22,22.35
2018-06-23,27.49
2018-06-24,32.63
2018-06-25,37.77
2018-06-26,42.9
2018-06-27,48.04
2018-06-28,53.18
2018-06-29,58.31
2018-06-30,31.41
2018-07-01,27.22
2018-07-02,11.77
2018-07-03,17.12
2018-07-04,23.69
2018-07-05,24.03
2018-07-06,27.66
2018-07-07,32.34
2018-07-08,34.71
2018-07-09,24.57
2018-07-10,28.42
2018-07-11,22.32
2018-07-12,17.56
2018-07-13,14.33
2018-07-14,33.63
2018-07-15,22.81
2018-07-16,19.41
2018-07-17,22.67
2018-07-18,25.67
2018-07-19,27.79
2018-07-20,38.12
2018-07-21,36.25
2018-07-22,43.41
2018-07-23,34.36
2018-07-24,33.84
2018-07-25,33.31
2018-07-26,32.78
2018-07-27,32.25
2018-07-28,35.14
2018-07-29,33.38
2018-07-30,27.52
2018-07-31,26.85
2018-08-01,34.0
2018-08-02,27.17
2018-08-03,19.68
2018-08-04,29.66
2018-08-05,32.24
2018-08-06,28.46
2018-08-07,32.82
2018-08-08,18.17
2018-08-09,24.43
2018-08-10,33.66
2018-08-11,24.62
2018-08-12,31.62
2018-08-13,21.55
2018-08-14,30.62
2018-08-15,38.57
2018-08-16,29.43
2018-08-17,14.81
2018-08-18,34.59
2018-08-19,32.05
2018-08-20,28.09
2018-08-21,18.68
2018-08-22,32.9
2018-08-23,29.55
2018-08-24,29.3
2018-08-25,21.38
2018-08-26,26.42
2018-08-27,17.21
2018-08-28,26.34
2018-08-29,18.19
2018-08-30,26.62
2018-08-31,30.91
2018-09-01,35.2
2018-09-02,18.99
2018-09-03,17.45
2018-09-04,30.96
2018-09-05,37.87
2018-09-06,29.25
2018-09-07,38.73
2018-09-08,38.43
2018-09-09,73.28
2018-09-10,111.34
2018-09-11,42.46
2018-09-12,21.34
2018-09-13,27.26
2018-09-14,41.08
2018-09-15,60.72
2018-09-16,67.44
2018-09-17,48.28
2018-09-18,35.12
2018-09-19,56.34
2018-09-20,35.89
2018-09-21,27.18
2018-09-22,50.52
2018-09-23,39.4
2018-09-24,17.68
2018-09-25,36.28
2018-09-26,60.56
2018-09-27,62.36
2018-09-28,28.72
2018-09-29,68.7
2018-09-30,109.54
2018-10-01,46.59
2018-10-02,30.41
2018-10-03,31.34
2018-10-04,52.64
2018-10-05,63.44
2018-10-06,68.03
2018-10-07,35.05
2018-10-08,17.0
2018-10-09,25.32
2018-10-10,49.42
2018-10-11,58.21
2018-10-12,51.3
2018-10-13,33.72
2018-10-14,39.74
2018-10-15,101.01
2018-10-16,34.22
2018-10-17,49.52
2018-10-18,99.92
2018-10-19,57.36
2018-10-20,61.47
2018-10-21,130.65
2018-10-22,146.05
2018-10-23,89.79
2018-10-24,161.97
2018-10-25,132.69
2018-10-26,131.33
2018-10-27,196.32
2018-10-28,126.03
2018-10-29,52.65
2018-10-30,113.05
2018-10-31,64.93
2018-11-01,16.81
2018-11-02,25.73
2018-11-03,88.88
2018-11-04,100.43
2018-11-05,148.82
2018-11-06,206.16
2018-11-07,120.06
2018-11-08,76.49
2018-11-09,113.06
2018-11-10,143.67
2018-11-11,75.44
2018-11-12,11.89
2018-11-13,48.27
2018-11-14,77.81
2018-11-15,87.3
2018-11-16,106.42
2018-11-17,123.05
2018-11-18,307.54
2018-11-19,293.25
2018-11-20,161.23
2018-11-21,135.98
2018-11-22,147.29
2018-11-23,82.79
2018-11-24,79.12
2018-11-25,92.79
2018-11-26,160.97
2018-11-27,147.34
2018-11-28,134.28
2018-11-29,165.85
2018-11-30,184.72
2018-12-01,182.05
2018-12-02,179.39
2018-12-03,176.72
2018-12-04,174.05
2018-12-05,171.39
2018-12-06,168.72
2018-12-07,166.05
2018-12-08,151.08
2018-12-09,155.96
2018-12-10,161.87
2018-12-11,167.63
2018-12-12,168.23
2018-12-13,170.32
2018-12-14,174.33
2018-12-15,175.39
2018-12-16,174.05
2018-12-17,172.72
2018-12-18,171.39
2018-12-19,171.39
2018-12-20,171.39
2018-12-21,171.39
2018-12-22,171.39
2018-12-23,171.39
2018-12-24,171.39
2018-12-25,171.39
2018-12-26,171.39
2018-12-27,171.39
2018-12-28,78.05
2018-12-29,76.72
2018-12-30,75.39
2018-12-31,74.05
2019-01-01,78.17
2019-01-02,78.74
2019-01-03,79.18
2019-01-04,81.92
2019-01-05,86.23
2019-01-06,87.55
2019-01-07,83.39
