iter	Passed	Remaining
407	8871	34617
408	8886	34567
409	8899	34512
410	8909	34445
411	8918	34373
412	8925	34297
413	8934	34225
414	8941	34150
415	8949	34075
416	8955	33997
417	8961	33917
418	8968	33841
419	8974	33762
420	8980	33683
0	2303	7689
461	2307	7683
462	2310	7670
463	2312	7654
464	2314	7640
465	2319	7633
466	2322	7624
467	2333	7639
468	2336	7628
469	2344	7632
470	2353	7641
471	2355	7625
472	2357	7609
473	2360	7600
474	2368	7605
475	2370	7588
476	2374	7580
477	2375	7564
478	2376	7546
479	2380	7537
480	2382	467	2375	7776
468	2383	7781
469	2391	7786
470	2393	7770
471	2400	7769
472	2403	7758
473	2407	7749
474	2414	7750
475	2416	7738
476	2422	7734
477	2425	7724
478	2427	7709
479	2429	7693479	2433	7704
480	2438	7699
4482	2441	7668482	2446	7684
483	2449	7673
4485	2452	76404486	2458	7637
487	2462	7630
488	2467	7623
489	2473	7622
490	2478	7617
491	2485	7618
492	2493	7623
493	2502	7629
494	2509	7631
495	2511	7614
496	2514	7603
497	2520	7601
498	2523	7590
499	2525	7576
500	2532	7576
501	2537	7572
502	2542	7566
503	2543	7551
504	2548	7544
505	2551	7534
506	2555	7524
507	2559	7518
508	2570	7530
509	2577	7531
510	2583	7528
511	2585	7514
512	2592	7513
513	2600	7518
514	2605	7512
515	2607	7498
516	2617	7509
517	2623	7506
518	2628	7501
519	2630	7487
520	2641	7498
521	2651	7506
522	2656	7502
523	2659	7492
524	2661	7478
525	2663	7463
526	2673	7472
527	2679	7469
528	2686	7469
529	2687	7454
530	2693	7451
531	2695	7437
532	2700	7432
533	2707	7433
534	2720	7449
535	2722	7435
536	2723	7420
537	2734	7431
538	2743	7435
539	2745	7422
540	2746	7407
541	2749	7396
542	2754	7389
543	2756	7376
544	2761	7373
545	2769	7374
546	2783	7393
547	2785	7380
548	2791	7376
549	2792	7362
550	2798	7360
551	2800	7346
552	2805	7339
553	2809	7333
554	2821	7345
555	2826	7340
556	2836	7348
557	2844	7352
558	2846	7337
559	2852	7336
560	2858	7332
561	2867	7337
562	2869	7323
563	2876	7322
564	2883	7323
565	2887	7314
566	2889	7303
567	2894	7298
568	2904	7303
569	2908	7296
570	2921	7311
571	2931	7318
572	2935	7310
573	2942	7310
574	2950	7312
575	2952	7299
576	2957	7293
577	2965	7294
578	2968	7284
579	2971	7275
580	2976	7268
581	2978	7256
582	2980	7244
583	2985	7237
584	2991	7236
585	2998	7235
586	3000	7222
587	3007	7223
588	3015	7223
589	3020	7219
590	3022	7206
591	3030	7206
592	3034	7200
593	3035	7185
594	3040	7179
595	3049	7183
596	3054	7178
597	3055	7164
598	3069	7178
599	3079	7184
600	3080	7170
601	3082	7158
602	3086	7149
603	3091	7145
604	3093	7133
605	3100	7132
606	3102	7121
607	3104	7108
608	3108	7100
609	3114	7096
610	3120	7094
611	3130	7100
612	3136	7096
613	3140	7088
614	3147	7087
615	3153	7084
616	3154	7071
617	3163	7074
618	3170	7073
619	3175	7067
620	3177	7055
621	3184	7054
622	3185	7041
623	3187	7029
624	3191	7021
625	3194	7012
626	3203	7015
627	3215	7024
628	3221	7020
629	3222	7008
630	3224	6996
631	3226	6984
632	3233	6983
633	3236	6973
634	3244	6974
635	3250	6971
636	3255	6966
637	3268	6978
638	3277	6980
639	3282	6975
640	3284	6964
641	3286	6952
642	3288	6940
643	3295	6938
644	3296	6925
645	3304	6926
646	3312	6926
647	3319	6924
648	3320	6912
649	3323	6902
650	3325	6891
651	3332	6889
652	3333	6876
653	3341	6876
654	3345	6870
655	3354	6873
656	3357	6862
657	3358	6850
658	3365	6849
659	3367	6837
660	3369	6825
661	3372	6815
662	3374	6804
663	3375	6792
664	3377	6781
665	3382	6774
666	3386	6768
667	3396	6772
668	3398	6762
669	3407	6764
670	3409	6752
671	3413	6745
672	3418	6741
673	3420	6729
674	3432	6737
675	3433	6725
676	3435	6714
677	3437	6702
678	3439	6691
679	3441	6680
680	3444	6671
681	3451	6669
682	3462	6677
683	3467	6670
684	3470	6662
685	3475	6657
686	3477	6647
687	3479	6636
688	3481	6624
689	3489	6625
690	3491	6614
691	3494	6604
692	3499	6599
693	3507	6601
694	3514	6599
695	3525	6604
696	3532	6604
697	3539	6602
698	3544	6596
699	3547	6588
700	3549	6577
701	3562	6586
702	3569	6585
703	3570	6573
704	3572	6562
705	3583	6567
706	3588	6562
707	3595	6561
708	3597	6551
709	3606	6552
710	3608	6541
711	3613	6536
712	3615	6525
713	3616	6514
714	3620	6505
715	3621	6495
716	3623	6484
717	3627	6477
718	3631	6470
719	3633	6459
720	3636	6450
721	3638	6439
722	3640	6429
723	3646	6426
724	3647	6415
725	3648	6403
726	3651	6393
727	3658	6392
728	3663	6387
729	3671	6387
730	3673	6376
731	3677	6371
732	3687	6374
733	3690	6365
734	3696	6362
735	3698	6352
736	3705	6350
737	3710	6344
738	3712	6334
739	3715	6325
740	3717	6315
741	3721	6309
742	3726	6305
743	3732	6301
744	3736	6293
745	3744	6294
746	3746	6284
747	3748	6273
748	3756	6274
749	3769	6282
750	3770	6271
751	3771	6259
752	3775	6252
753	3778	6244
754	3782	6236
755	3786	6231
756	3792	6228
757	3794	6217
758	3795	6206
759	3797	6195
760	3804	6194
761	3809	6188
762	3816	6186
763	3822	6183
764	3824	6173
765	3833	6175
766	3835	6165
767	3838	6158
768	3840	6147
769	3842	6137
770	3843	6126
771	3848	6121
772	3858	6124
773	3859	6113
774	3865	6109
775	3874	6110
776	3875	6099
777	3880	6095
778	3882	6085
779	3892	6087
780	3894	6078
781	3906	6084
782	3912	6080
783	3914	6071
784	3918	6065
785	3920	6055
786	3927	6053
787	3930	6045
788	3933	6037
789	3948	6048
790	3955	6045
791	3964	6047
792	3968	6040
793	3978	6042
794	3980	6033
795	3986	6029
796	3996	6032
797	3998	6022
798	4000	6012
799	4008	6012
800	4021	6019
801	4023	6010
802	4029	6006
803	4037	6005
804	4045	6005
805	4053	6004
806	4062	6004
807	4063	5995
808	4074	5998
809	4075	5988
810	4080	5982
811	4082	5972
812	4084	5963
813	4092	5963
814	4096	5956
815	4098	5946
816	4100	5937
817	4108	5936
818	4114	5933
819	4120	5929
820	4127	5927
821	4135	5926
822	4137	5916
823	4141	5911
824	4145	5904
825	4149	5897
826	4151	5888
827	4164	5894
828	4165	5884
829	4167	5875
830	4169	5864
831	4170	5854
832	4172	5845
833	4183	5848
834	4188	5843
835	4189	5833
836	4195	5829
837	4199	5822
838	4201	5813
839	4202	5803
840	4204	5794
841	4207	5785
842	4209	5777
843	4216	5775
844	4219	5767
845	4221	5758
846	4225	5751
847	4232	5749
848	4234	5740
849	4235	5730
850	4242	5728
851	4249	5726
852	4251	5717
853	4253	5707
854	4259	5703
855	4261	5694
856	4262	5685
857	4264	5676
858	4267	5668
859	4269	5659
860	4275	5655
861	4276	5646
862	4278	5636
863	4298	5651
864	4300	5643
865	4303	5634
866	4312	5635
867	4314	5627
868	4316	5618
869	4320	5611
870	4884	4331	871	4885	4336	5452
886	4341	873	4887	4351	874	4350	5593
875	4354	5587
876	4890	4371	877	4372	5588
878	4376	5581
879	4378	5572
880	4384	5569
881	4385	5559
882	4388	5551
883	4393	5546
884	4396	5538
885	4399	5531
886	4410	5534
887	4415	5529
888	4902	4428	889	4903	4438	5381
904	4442	5374
905	4455	5379
906	4460	5375
907	4467	5373
908	4472	5367
909	4474	5359
910	4475	897	4911	4488	5354
912	4494	5351
913	4500	5346
914	4502	5338
915	4506	5332
916	4508	5325
917	4514	5321
918	4516	5313
919	4518	5304
920	4524	5300
921	4531	5298
922	4536	5293
923	4537	5284
924	4543	5280
925	4547	5273
926	4553	5271
927	4564	5272
928	4566	5264
929	4572	5260
930	4577	5256
931	4585	5254
932	4587	5246
933	4589	5237
934	4591	5229
935	4597	5226
936	4602	5221
937	4616	5226
938	4619	5219
939	4631	5222
940	4633	5214
941	4640	5212
942	4646	5208
943	4650	5201
944	4652	5193
945	4654	5185
946	4658	5180
947	4666	5178
948	4673	5175
949	4678	5171
950	4689	5172
951	4691	5165
952	4693	5156
953	4695	5148
954	4700	5142
955	4701	5134
956	4703	5126
957	4706	5119
958	4708	5111
959	4712	5105
960	4719	5102
961	4721	5094
962	4728	5091
963	4737	5091
964	4742	5086
965	4743	5077
966	4749	5073
967	4751	5065
968	4765	5070
969	4786	5082
970	4795	5081
971	4802	5078
972	4807	5074
973	4813	5070
974	4815	5062
975	4817	5054
976	4818	5045
977	4824	5041
978	4828	5036
979	4836	5033
980	4839	5026
981	4850	5027
982	4855	5023
983	4863	5021
984	4867	5015
985	4874	5012
986	4877	5005
987	4879	4998
988	4887	4996
989	4894	4993
990	4903	4992
991	4906	4985
992	4912	4981
993	4918	4977
994	4925	4975
995	4928	4968
996	4933	4962
997	4940	4960
998	4946	4956
999	4954	4954
1000	4961	4951
1001	4968	4948
1002	4973	4943
1003	4975	4935
1004	4977	4928
1005	4979	4920
1006	4993	4923
1007	4998	4919
1008	5000	4911
1009	5008	4908
1010	5010	4901
1011	5013	4894
1012	5014	4886
1013	5016	4878
1014	5018	4870
1015	5027	4869
1016	5029	4861
1017	5033	4855
1018	5038	4850
1019	5040	4842
1020	5044	4837
1021	5053	4836
1022	5059	4832
1023	5062	4825
1024	5070	4823
1025	5078	4820
1026	5079	4812
1027	5086	4809
1028	5090	4803
1029	5096	4799
1030	5100	4793
1031	5103	4786
1032	5113	4787
1033	5122	4785
1034	5123	4777
1035	5127	4771
1036	5132	4766
1037	5134	4758
1038	5138	4752
1039	5139	4744
1040	5143	4738
1041	5155	4740
1042	5157	4732
1043	5160	4725
1044	5165	4720
1045	5168	4713
1046	5175	4710
1047	5180	4706
1048	5182	4698
1049	5188	4694
1050	5198	4694
1051	5207	4692
1052	5211	4686
1053	5217	4682
1054	5219	4675
1055	5221	4667
1056	5224	4661
1057	5230	4656
1058	5232	4649
1059	5243	4649
1060	5255	4650
1061	5261	4647
1062	5263	4639
1063	5275	4640
1064	5277	4632
1065	5279	4625
1066	5286	4623
1067	5288	4615
1068	5303	4619
1069	5312	4617
1070	5314	4609
1071	5323	4608
1072	5334	4608
1073	5336	4601
1074	5343	4597
1075	5347	4591
1076	5353	4588
1077	5355	4580
1078	5363	4577
1079	5371	4575
1080	5373	4568
1081	5375	4560
1082	5377	4553
1083	5381	4547
1084	5386	4542
1085	5389	4535
1086	5396	4532
1087	5402	4528
1088	5404	4520
1089	5406	4513
1090	5414	4511
1091	5417	4505
1092	5422	4499
1093	5430	4497
1094	5436	4493
1095	5442	4489
1096	5446	4483
1097	5451	4478
1098	5453	4471
1099	5456	4464
1100	5459	4457
1101	5466	4454
1102	5468	4447
1103	5470	4439
1104	5478	4437
1105	5481	4430
1106	5487	4426
1107	5497	4425
1108	5499	4418
1109	5509	4417
1110	5515	4413
1111	5524	4411
1112	5527	4404
1113	5538	4405
1114	5550	4405
1115	5552	4397
1116	5554	4390
1117	5556	4383
1118	5564	4381
1119	5566	4373
1120	5575	4371
1121	5581	4367
1122	5583	4360
1123	5585	4352
1124	5590	4348
1125	5593	4341
1126	5595	4334
1127	5604	4332
1128	5606	4325
1129	5612	4320
1130	5613	4313
1131	5620	4309
1132	5627	4306
1133	5637	4305
1134	5639	4298
1135	5645	4293
1136	5648	4286
1137	5649	4279
1138	5656	4275
1139	5663	4272
1140	5670	4268
1141	5676	4264
1142	5677	4257
1143	5678	4249
1144	5682	4243
1145	5690	4240
1146	5692	4233
1147	5696	4227
1148	5702	4223
1149	5707	4218
1150	5714	4214
1151	5717	4208
1152	5719	4201
1153	5720	4194
1154	5727	4189
1155	5732	4184
1156	5733	4177
1157	5735	4170
1158	5750	4172
1159	5752	4165
1160	5756	4160
1161	5759	4153
1162	5765	4149
1163	5767	4142
1164	5779	4142
1165	5783	4136
1166	5794	4136
1167	5796	4129
1168	5806	4127
1169	5808	4120
1170	5810	4113
